abounds	vimlar
intriguing	fängslande
intuitive	intuitiv
invaluable	ovärderlig
inventive	uppfinningsrik
invigorate	stärka
invigorating	uppfriskande
invincibility	oövervinnlighet
invincible	oövervinnerlig
inviolable	okränkbar
inviolate	oantastad
invulnerable	osårbar
irreplaceable	oersättlig
irreproachable	oklanderlig
irresistible	oemotståndlig
irresistibly	oemotståndligt
jaw-dropping	häpnadsväckande
jolly	glad
jovial	gladlynt
joy	glädje
joyful	glad
joyfully	glatt
joyous	glad
jubilant	jublande
jubilantly	jublande
jubilate	jubilera
jubilation	jubel
judicious	klok
justly	rättvist
keen	angelägen
keenly	kännbar
keenness	iver
kid-friendly	barnvänlig
kindliness	vänlighet
kindly	vänligt
kindness	vänlighet
knowledgeable	kunnig
kudos	beröm
laud	prisa
laudable	lovvärd
laudably	berömvärt
lavish	slösa
lavishly	frikostigt
law-abiding	laglydiga
lawful	laglig
lawfully	lagligen
lead	leda
leading	ledande
lean	mager
leverage	inflytande
liberate	befria
liberation	befrielse
liberty	frihet
lifesaver	livräddare
light-hearted	sorglös
lighter	lättare
likable	sympatisk
liked	omtyckt
likes	gillar
liking	böjelse
lionhearted	Lionhearted
lively	livlig
logical	logisk
long-lasting	långvarig
lovable	intagande
love	kärlek
loved	älskade
loveliness	skönhet
lovely	härlig
lover	älskare
loves	älskar
loving	kärleksfull
lower-priced	lägre-priced
loyal	lojala
loyalty	lojalitet
luck	tur
lucky	tur-
lucrative	lukrativ
luminous	lysande
lush	frodig
luster	lyster
lustrous	glänsande
luxuriant	frodig
luxuriate	frodas
luxurious	lyxig
luxuriously	lyxigt
luxury	lyx
lyrical	lyrisk
magic	magi
magical	magisk
magnanimous	storsint
magnificence	prakt
magnificent	magnifik
magnificently	magnifikt
majestic	majestätisk
majesty	majestät
manageable	hanterlig
maneuverable	lättmanövrerad
marvel	förundras
marveled	förundrade
marvelled	förundrade
marvellous	underbar
marvelous	underbar
master	bemästra
masterful	mästerlig
masterpiece	mästerverk
masterpieces	mäster
mastery	herravälde
matchless	makalös
mature	mogna
maturely	moget
maturity	mognad
meaningful	meningsfull
memorable	minnesvärd
merciful	barmhärtig
mercifully	barmhärtigt
mercy	barmhärtighet
meritorious	förtjänstfull
merrily	glatt
merriment	munterhet
merriness	munterhet
merry	glad
mesmerize	hypnotisera
mesmerized	uppslukad
mesmerizing	fascinerande
meticulous	noggrann
meticulously	noggrant
mightily	mäktigt
mighty	mäktig
mind-blowing	häpnadsväckande
miracle	mirakel
miracles	mirakel
miraculous	mirakulös
miraculously	mirakulöst
modest	blygsam
modesty	anspråkslöshet
momentous	betydelsefulla
morality	moral
motivated	motiverad
navigable	farbar
neat	propert
neatest	snyggaste
neatly	ordentligt
nice	trevlig
nicely	fint
nicer	trevligare
nicest	finaste
nifty	tjusig
nimble	vig
noble	ädel
nobly	ädelt
noiseless	ljudlös
non-violence	ickevåld
non-violent	icke-våldsamma
noteworthy	anmärkningsvärd
nourish	uppföda
nourishing	närande
nourishment	näring
novelty	nyhet
nurturing	vårda
oasis	oas
obsession	besatthet
obsessions	tvångstankar
obtainable	erhållas
openly	öppet
openness	öppenhet
optimistic	optimistisk
opulent	rik
orderly	ordnad
originality	originalitet
outdo	bräcka
outdone	överträffat
outperform	överträffa
outperformed	överträffade
outperforms	utklassar
outshine	glänsa
outshone	glänste
outsmart	överlista
outstanding	utestående
outstandingly	utomordentligt
outstrip	träffa
outwit	överlista
overjoyed	lycklig
overtaking	omkörning
overtook	passerade
overture	uvertyr
pain-free	smärtfri
painless	smärtfri
painlessly	smärtfritt
palatial	palats
panoramic	panorama-
paradise	paradis
pardon	förlåta
passionate	passionerad
passionately	passion
patience	tålamod
patiently	tålmodigt
patriotic	patriotisk
peace	fred
peaceable	fredlig
peaceful	fredlig
peacefully	lugnt
peacekeepers	fredsbevarare
peach	persika
peerless	makalös
pepping	Pepping
perfect	perfekt
perfection	fulländning
perfectly	perfekt
permissible	tillåten
perseverance	uthållighet
personages	personligheter
personalized	personlig
phenomenal	fenomenal
phenomenally	cancerfallen
picturesque	pittoresk
piety	fromhet
pinnacle	höjdpunkt
playful	lekfull
playfully	lekfullt
pleasant	behaglig
pleasantly	angenämt
pleased	nöjd
pleases	behagar
pleasing	behaglig
pleasurable	angenäm
pleasure	nöje
plentiful	rikligt
pluses	plussidan
plush	plysch
plusses	plustecknen
poetic	poetisk
poignant	gripande
poise	balans
poised	redo
polished	polerad
polite	artig
politeness	artighet
popular	populär
portable	bärbar
posh	flott
positive	positiv
positively	positivt
positives	positiva
powerful	kraftfull
powerfully	kraftigt
praise	beröm
praiseworthy	beröm
praising	prisa
pre-eminent	framstående
precious	dyrbar
precise	exakt
precisely	exakt
prefer	föredra
preferable	bättre
preferably	företrädesvis
prefered	föredragen
preferring	föredrar
prefers	föredrar
premier	premiärminister
prestigious	prestigefyllda
pretty	Söt
priceless	ovärderlig
pride	stolthet
principled	principfast
privilege	privilegium
privileged	privilegierad
prize	pris-
proactive	proaktiv
problem-free	problemfri
problem-solver	problemlösare
prodigious	oerhörd
prodigy	vidunder
productive	produktiv
productively	produktivt
proficient	skicklig
proficiently	skickligt
profound	djupgående
profoundly	djupt
profuse	riklig
profusion	ymnighet
progress	framsteg
progressive	progressiv
prolific	fruktsam
prominence	prominens
prominent	framträdande
promise	löfte
promised	utlovade
promises	löften
promising	lovande
promoter	promotor
promptly	omgående
proper	rätt
properly	ordentligt
propitious	gynnsam
prosper	blomstra
prosperity	välstånd
prosperous	välmående
protect	skydda
protection	skydd
protective	skyddande
proud	stolt
proven	bevisad
proves	bevisar
providence	försyn
proving	bevisa
prowess	förmåga
prudence	försiktighet
prudent	klok
prudently	försiktigt
punctual	punktlig
pure	ren
purify	rena
purposeful	meningsfullt
quaint	pittoresk
qualified	kvalificerad
qualify	kvalificera
quicker	snabbare
quiet	tyst
quieter	tystare
radiance	strålglans
radiant	strålande
rapid	snabb
rapt	försjunken
rapture	hänryckning
rapturous	hänryckt
rational	rationell
razor-sharp	knivskarpa
reachable	nåbar
readable	läsbar
readily	lätt
ready	redo
realistic	realistisk
realizable	realiserbar
reasonable	rimlig
reasonably	rimligen
reasoned	motiverade
reassurance	uppmuntran
reassure	försäkra
receptive	receptiv
reclaim	återvinna
recomend	rekommendera
recommend	rekommendera
recommendation	rekommendation
recommendations	rekommendationer
recommended	rekommenderad
reconcile	förena
reconciliation	försoning
record-setting	rekord
recovery	återhämtning
rectification	rättelse
rectify	rätta
rectifying	likriktande
redeeming	återlösande
redemption	inlösen
refine	förfina
refined	raffinerad
refinement	förfining
reform	reformera
reformed	reformerad
reforming	reformering
reforms	reformer
refreshed	uppdateras
refreshing	uppfriskande
refund	återbetalning
refunded	återbetalas
regal	kunglig
regally	kungligt
regard	betrakta
rejoice	glädjas
rejoicing	fröjd
rejoicingly	FESTLIGT
rejuvenate	föryngra
rejuvenated	föryngrad
rejuvenating	föryngrande
relaxed	avslappnad
relent	mjukna
reliable	pålitlig
reliably	tillförlitligt
relief	lättnad
remarkable	anmärkningsvärd
remarkably	anmärkningsvärt
remedy	avhjälpa
remission	eftergift
remunerate	ersätta
renaissance	renässans
renewed	förnyad
renown	ryktbarhet
renowned	känd
replaceable	utbytbar
reputable	ansedd
reputation	rykte
resilient	elastisk
resolute	beslutsam
resound	skalla
resounding	rungande
resourceful	rådig
resourcefulness	rådighet
respect	respekt
respectable	respektabel
respectful	respekt
respectfully	respekt
respite	respit
resplendent	glänsande
responsibly	ansvarsfullt
responsive	mottaglig
restful	rogivande
restored	återställd
restructure	omstrukturera
restructured	omstrukturerade
restructuring	omstrukturering
retractable	infällbar
revel	frossa
revelation	uppenbarelse
revere	vörda
reverence	vördnad
reverent	vördnads
revitalize	återuppliva
revival	väckelse
revive	återuppliva
revives	återupplivar
revolutionary	revolutionerande
revolutionize	revolutionera
revolutionized	revolution
revolutionizes	revolutionerar
reward	pris
rewarding	givande
rich	rik
richer	rikare
richly	rikt
richness	rikedom
right	höger
righteous	rättfärdig
righteously	rättfärdigt
righteousness	rättfärdighet
rightful	rättmätig
rightfully	rättmätigt
rightness	riktighet
risk-free	riskfri
rock-star	Rockstjärna
rock-stars	rockstjärnor
rockstar	Rockstjärna
rockstars	rockstjärnor
romantic	romantisk
romantically	romantiskt
romanticize	romantisera
roomier	rymligare
roomy	rymlig
rosy	rosig
safe	säker
safely	säkert
sagacity	klokhet
saint	helgon
salutary	välgörande
salute	honnör
sane	förnuftig
satisfactorily	tillfredsställande
satisfactory	tillfredsställande
satisfied	nöjd
satisfies	uppfyller
satisfy	uppfylla
satisfying	tillfredsställande
saver	sparare
savings	besparingar
savior	räddare
savvy	smart
scenic	naturskön
seamless	sömlös
seasoned	kryddat
secure	säkra
securely	säkert
selective	selektiv
self-determination	självbestämmande
self-respect	självrespekt
self-satisfaction	självtillfredsställelse
self-sufficiency	självförsörjning
self-sufficient	självförsörjande
sensation	känsla
sensational	sensationell
sensationally	sensationellt
sensations	förnimmelser
sensible	förnuftig
sensibly	förnuftigt
sensitive	känslig
serene	lugn
serenity	lugn
sexy	sexig
sharp	skarp
sharper	skarpare
sharpest	skarpaste
shimmering	skimrande
shimmeringly	skimrande
shine	glans
shiny	skinande
significant	signifikant
silent	tyst
simpler	enklare
simplest	enklaste
simplified	förenklad
simplifies	förenklar
simplify	förenkla
simplifying	förenkla
sincere	uppriktig
sincerity	uppriktighet
skill	skicklighet
skilled	skicklig
skillful	skicklig
skillfully	skickligt
sleek	elegant
slick	smart
smarter	smartare
smartest	smartaste
smartly	snyggt
smile	leende
smiles	ler
smiling	leende
smilingly	leende
smitten	slagen
smooth	slät
smoother	mjukare
smoothes	jämnar
smoothest	smidig
smoothly	mjukt
snappy	galleriets
snazzy	tjusig
sociable	sällskaplig
soft	mjuk
softer	mjukare
solace	tröst
solicitous	angelägen
solid	fast
solidarity	solidaritet
soothe	lugna
soothingly	lugnande
sophisticated	sofistikerad
soundly	väl
soundness	soliditet
spacious	rymlig
sparkle	gnistra
sparkling	gnistrande
spectacular	spektakulär
spectacularly	spektakulärt
speedily	snabbt
speedy	snabb
spellbinding	trollbindande
spellbound	förtrollad
spirited	pigg
spiritual	andlig
splendid	utmärkt
splendidly	utmärkt
splendor	prakt
spontaneous	spontan
sporty	sportig
spotless	fläckfri
sprightly	pigg
stability	stabilitet
stabilize	stabilisera
stable	stabil
stainless	rostfri
state-of-the-art	toppmodern
stately	ståtlig
statuesque	statylik
staunch	pålitlig
staunchly	hårdnackat
steadfast	ståndaktig
steadfastly	orubbligt
steadfastness	ståndaktighet
steadiness	stadighet
steady	stadig
stellar	stjärn-
stimulate	stimulera
stimulates	stimulerar
stimulating	stimulerande
stimulative	stimulerande
stirringly	Rörande
straightforward	enkel
streamlined	strömlinjeformad
striking	slående
strikingly	slående
striving	strävan
strong	stark
stronger	starkare
strongest	starkaste
stunned	bedövad
stunning	fantastisk
stunningly	häpnadsväckande
stupendous	förbluffande
sturdier	robustare
sturdy	kraftig
stylish	elegant
stylishly	elegant
stylized	stiliserade
suave	förbindlig
sublime	sublim
subsidize	subventionera
subsidized	subventionerad
subsidizes	subventionerar
subsidizing	subventionera
substantive	materiella
succeed	lyckas
succeeded	lyckades
succeeding	efterföljande
succeeds	lyckas
success	Framgång
successes	framgångar
successful	framgångsrik
successfully	framgångsrikt
suffice	räcka
sufficed	räckt
sufficient	tillräcklig
sufficiently	tillräckligt
suitable	lämplig
sumptuous	överdådig
sumptuously	prakt
superb	utmärkt
superbly	utmärkt
superior	överlägsen
superiority	överlägsenhet
supple	smidig
support	Stöd
supported	stöds
supporter	anhängare
supporting	stödjande
supportive	stödjande
supports	bärare
supremacy	överlägsenhet
supreme	överlägsen
surmount	övervinna
surpass	överstiga
surreal	overkligt
survival	överlevnad
survivor	efterlevande
sustainability	hållbarhet
sustainable	hållbar
swanky	flott
sweeping	sotning
sweet	ljuv
sweeten	söta
sweetheart	Älskling
sweetly	sött
sweetness	sötma
swift	snabb
swiftness	snabbhet
talent	talang
talented	begåvad
talents	talanger
tantalize	reta
tantalizing	frestande
