abound	abbondare
endearing	accattivante
endorse	approvare
endorsed	omologati
endorsement	approvazione
endorses	approva
endorsing	avallando
energetic	energico
energize	eccitare
engaging	avvincente
engrossing	avvincente
enhance	accrescere
enhanced	migliorata
enhancement	aumento
enhances	migliora
enjoy	godere
enjoyable	piacevole
enjoyed	goduto
enjoying	godendo
enjoyment	godimento
enjoys	gode
enlighten	illuminare
enlightenment	illuminismo
enliven	ravvivare
ennoble	nobilitare
enough	abbastanza
enrapture	rapire
enraptured	rapito
enrich	arricchire
enrichment	arricchimento
enterprising	intraprendente
entertain	intrattenere
entertaining	divertente
entertains	intrattiene
enthral	affascinare
enthrall	affascinare
enthuse	entusiasmare
enthusiasm	entusiasmo
enthusiast	appassionato
enthusiastic	entusiasta
enthusiastically	entusiasticamente
entice	allettare
enticed	allettato
enticing	allettante
enticingly	seducente
entrancing	incantevole
entrust	affidare
enviable	invidiabile
enviably	invidiabile
envious	invidioso
enviously	invidia
enviousness	invidia
envy	invidia
equitable	equo
ergonomical	ergonomico
err-free	err-gratis
erudite	erudito
ethical	etico
eulogize	elogiare
euphoria	euforia
euphoric	euforico
euphorically	euforico
evaluative	valutativo
evenly	ugualmente
eventful	movimentato
everlasting	eterno
evocative	suggestivo
exalt	esaltare
exaltation	esaltazione
exalted	esaltato
exalting	esaltando
examplary	esemplare
exceed	superare
exceeded	superato
exceeding	superiore
exceedingly	eccessivamente
exceeds	supera
excel	eccellere
excelent	eccellente
excellant	eccellente
excelled	eccelso
excellence	eccellenza
excellency	Eccellenza
excellent	eccellente
excellently	ottimamente
excels	eccelle
exceptional	eccezionale
exceptionally	eccezionalmente
excite	eccitare
excited	eccitato
excitedly	animatamente
excitement	eccitazione
excites	eccita
exciting	eccitante
excitingly	eccitante
exellent	eccellente
exemplar	esemplare
exemplary	esemplare
exhilarate	esilarare
exhilarating	esilarante
exhilaratingly	esilarante
exhilaration	euforia
exonerate	scagionare
expansive	espansivo
expeditiously	speditamente
expertly	sapientemente
exquisite	squisito
exquisitely	squisitamente
extol	esaltare
extoll	esaltare
extraordinarily	eccezionalmente
extraordinary	straordinario
exuberance	esuberanza
exuberant	esuberante
exuberantly	esuberante
exult	esultare
exultant	esultante
exultation	esultanza
exultingly	esultanza
eye-catching	accattivante
eyecatch	Eyecatch
fabulous	favoloso
fabulously	favolosamente
facilitate	facilitare
fair	giusto
fairly	abbastanza
fairness	equità
faith	fede
faithful	fedele
faithfully	fedelmente
faithfulness	fedeltà
fame	fama
famed	famoso
famous	famoso
famously	notoriamente
fancier	amatore
fancy	fantasia
fanfare	fanfara
fans	fan
fantastic	fantastico
fantastically	fantasticamente
fascinate	affascinare
fascinating	affascinante
fascination	fascino
fashionably	moda
fast	veloce
faultless	perfetto
fave	Fave
favor	favore
favorable	favorevole
favored	favorito
favorite	preferito
favour	favore
fearless	impavido
feasible	fattibile
feasibly	tenerne
feat	impresa
feisty	Esuberante
felicitous	felice
felicity	felicità
fervent	fervente
fervently	fervore
fervid	fervido
fervidly	fervidamente
fervor	fervore
festive	festivo
fidelity	fedeltà
fiery	ardente
fine	bene
fine-looking	bell'aspetto
finely	finemente
firmer	soda
first-in-class	prima-in-class
first-rate	ottimo
flashy	vistoso
flatter	lusingare
flattering	lusinghiero
flawless	perfetto
flawlessly	impeccabile
flexibility	flessibilità
flexible	flessibile
flourish	fiorire
flourishing	fiorente
fluent	fluente
flutter	svolazzare
fond	affettuoso
fondness	predilezione
foolproof	infallibile
foremost	primo
foresight	lungimiranza
formidable	formidabile
fortuitous	fortuito
fortuitously	fortuitamente
fortunate	fortunato
fortunately	fortunatamente
fortune	fortuna
fragrant	fragrante
free	gratuito
freed	liberato
freedoms	libertà
fresh	fresco
fresher	matricola
friendliness	cordialità
friendly	amichevole
frolic	folleggiare
frugal	frugale
fruitful	fruttuoso
fulfillment	compimento
fun	divertimento
futuristic	futuristico
gaiety	allegria
gaily	allegramente
gain	guadagno
gained	guadagnato
gainful	lucrativa
gaining	guadagnando
gains	utile
gallant	galante
gallantly	galantemente
geeky	geek
gem	gemma
gems	gemme
generosity	generosità
generous	generoso
generously	generosamente
genial	cordiale
genius	genio
gentle	dolce
gentlest	delicato
genuine	genuino
gifted	dotato
glad	lieto
gladden	allietare
gladly	volentieri
gladness	contentezza
glamorous	affascinante
glee	gioia
gleeful	allegro
gleefully	allegramente
glimmer	barlume
glimmering	scintillante
glisten	luccicare
glistening	scintillante
glitter	luccichio
glitz	Glitz
glorify	glorificare
glorious	glorioso
gloriously	gloriosamente
glory	gloria
glow	splendore
glowing	raggiante
godlike	divino
godsend	fortuna
gold	oro
golden	d'oro
good	bene
goodly	bello
goodness	bontà
gorgeous	bellissima
gorgeously	magnificamente
grace	grazia
graceful	grazioso
gracefully	grazia
gracious	gentile
graciously	graziosamente
grand	grande
grandeur	grandezza
grateful	grato
gratification	gratificazione
gratified	gratificato
gratifies	gratifica
gratify	gratificare
gratifying	lusinghiero
gratitude	gratitudine
great	grande
greatness	grandezza
grin	sorriso
groundbreaking	innovativo
guarantee	garanzia
guidance	guida
guiltless	innocente
gumption	buonsenso
gush	sgorgare
gutsy	coraggioso
hail	grandinare
halcyon	calmo
hale	sano
hallmark	caratteristica
hallmarks	caratteristiche
hallowed	santificato
handily	comoda
handsome	bello
handsomely	profumatamente
handy	maneggevole
happily	felicemente
happiness	felicità
happy	contento
hard-working	laborioso
hardy	ardito
harmless	innocuo
harmonious	armonioso
harmoniously	armoniosamente
harmonize	armonizzare
harmony	armonia
headway	abbrivio
heal	guarire
healthful	sano
healthy	salutare
hearten	rinfrancare
heartening	incoraggiante
heartfelt	sincero
heartily	cordialmente
heartwarming	commovente
heaven	Paradiso
heavenly	celeste
helped	aiutato
helpful	utile
helping	porzione
hero	eroe
heroic	eroico
heroically	eroicamente
heroine	eroina
high-spirited	coraggioso
hilarious	divertente
holy	santo
homage	omaggio
honest	onesto
honesty	onestà
honor	onore
honorable	onorevole
honored	onorato
honoring	onorare
hooray	urrà
hospitable	ospitale
hot	caldo
hug	abbraccio
humane	umano
humble	umile
humility	umiltà
humor	umorismo
humorous	umoristico
humorously	umoristicamente
humour	umorismo
ideal	ideale
idealize	idealizzare
ideally	idealmente
idol	idolo
idolize	idolatrare
idolized	idolatrato
idyllic	idilliaco
illuminate	illuminare
illuminating	illuminante
illumine	illuminare
illustrious	illustre
imaculate	intonso
imaginative	fantasioso
immaculate	immacolato
immaculately	immacolato
immense	immenso
impartial	imparziale
impartiality	imparzialità
impartially	imparzialmente
impassioned	appassionato
impeccable	impeccabile
impeccably	impeccabilmente
important	importante
impress	impressionare
impressed	impressionato
impresses	impressiona
impressive	impressionante
impressively	impressionante
impressiveness	imponenza
improve	Migliorare
improved	migliorata
improvement	miglioramento
improvements	miglioramenti
improves	migliora
improving	miglioramento
incredible	incredibile
incredibly	incredibilmente
indebted	indebitato
individualized	individualizzato
indulgence	indulgenza
indulgent	indulgente
industrious	industrioso
inestimable	inestimabile
inexpensive	economico
infallibility	infallibilità
infallible	infallibile
infallibly	infallibilmente
influential	influente
ingenious	ingegnoso
ingeniously	ingegnosamente
ingenuity	ingegnosità
ingenuous	ingenuo
ingenuously	ingenuamente
innocuous	innocuo
innovation	innovazione
innovative	innovativo
insightful	penetranti
insightfully	acutamente
inspiration	ispirazione
inspirational	ispirazione
inspire	ispirare
inspiring	ispiratore
instantly	immediatamente
instructive	istruttivo
instrumental	strumentale
integral	integrante
integrated	integrato
intelligence	intelligenza
intelligent	intelligente
intelligible	intelligibile
interesting	interessante
interests	interessi
intimacy	intimità
intimate	intimo
intricate	intricato
intrigue	intrigo
intriguing	intrigante
intriguingly	intrigante
intuitive	intuitivo
invaluable	inestimabile
inventive	inventivo
invigorate	rinvigorire
invigorating	tonificante
invincibility	invincibilità
invincible	invincibile
inviolable	inviolabile
inviolate	inviolato
invulnerable	invulnerabile
irreplaceable	insostituibile
irreproachable	irreprensibile
irresistible	irresistibile
irresistibly	irresistibile
jaw-droping	mascella-droping
jaw-dropping	strabiliante
jolly	gioviale
jovial	gioviale
joy	gioia
joyful	gioioso
joyfully	gioia
joyous	gioioso
joyously	Gioiosamente
jubilant	giubilante
jubilantly	giubilante
jubilate	esultare
jubilation	giubilo
judicious	giudizioso
justly	giustamente
keen	acuto
keenly	avidamente
keenness	acutezza
kindliness	gentilezza
kindly	gentilmente
kindness	gentilezza
kudos	gloria
laud	lode
laudable	lodevole
laudably	lodevolmente
lavish	sontuoso
lavishly	riccamente
lawful	legale
lawfully	legalmente
lead	condurre
leading	principale
leads	conduce
lean	magro
led	guidato
legendary	leggendario
leverage	leva
levity	leggerezza
liberate	liberare
liberation	liberazione
liberty	libertà
lifesaver	salvavita
light-hearted	spensierato
lighter	accendino
likable	attraente
like	piace
likes	piace
liking	simpatia
lionhearted	audace
lively	vivace
logical	logico
lovable	amabile
love	amore
loved	amato
loveliness	bellezza
lovely	bello
lover	amante
loving	amorevole
loyal	leale
loyalty	lealtà
lucid	lucido
lucidly	lucidamente
luck	fortuna
luckiness	fortuna
lucky	fortunato
lucrative	lucrativo
luminous	luminoso
lush	lussureggiante
luster	lustro
lustrous	lustro
luxuriant	lussureggiante
luxuriate	lussureggiare
luxurious	lussuoso
luxuriously	lussuosamente
luxury	lusso
lyrical	lirico
magic	Magia
magical	magico
magnanimous	magnanimo
magnanimously	magnanimamente
magnificence	magnificenza
magnificent	magnifico
magnificently	magnificamente
majestic	maestoso
majesty	maestà
manageable	trattabile
maneuverable	maneggevole
marvel	meraviglia
marveled	meravigliato
marvelled	meravigliato
marvellous	meravigliosa
marvelous	meravigliosa
marvelously	meravigliosamente
marvels	meraviglie
master	maestro
masterful	imperioso
masterfully	magistralmente
masterpiece	capolavoro
masterpieces	capolavori
masters	maestri
mastery	padronanza
matchless	incomparabile
mature	maturo
maturely	maturo
maturity	scadenza
meaningful	significativo
memorable	memorabile
merciful	misericordioso
mercifully	misericordiosamente
mercy	misericordia
merit	merito
meritorious	meritorio
merrily	allegramente
merriment	allegria
merriness	allegria
merry	allegro
mesmerize	ipnotizzare
mesmerized	ipnotizzato
mesmerizes	ipnotizza
mesmerizing	ipnotizzante
meticulous	meticoloso
meticulously	meticolosamente
mightily	potentemente
mighty	potente
mind-blowing	mente-blowing
miracle	miracolo
miracles	miracoli
miraculous	miracoloso
miraculously	miracolosamente
modern	moderno
modest	modesto
modesty	modestia
momentous	importante
monumental	monumentale
monumentally	monumentalmente
morality	moralità
motivated	motivata
multi-purpose	multiuso
navigable	navigabile
neat	pulito
neatly	ordinatamente
nice	simpatico
nicely	piacevolmente
nifty	elegante
nimble	agile
noble	nobile
nobly	nobilmente
noiseless	silenzioso
notably	segnatamente
nourish	nutrire
nourishing	nutriente
nourishment	nutrimento
novelty	novità
nurturing	nutrimento
oasis	oasi
obsession	ossessione
obsessions	ossessioni
obtainable	ottenibile
openly	apertamente
openness	apertura
optimal	ottimale
optimism	ottimismo
optimistic	ottimista
opulent	opulento
orderly	ordinato
originality	originalità
outdo	superare
outperformed	sovraperformato
outperforming	sovraperformance
outperforms	Sorpassa
outshine	eclissare
outshone	eclissato
outstanding	eccezionale
outstandingly	eccezionale
outstrip	superare
ovation	ovazione
overjoyed	felicissimo
overtake	sorpassare
overtaken	superato
overtakes	sorpassi
overtaking	sorpasso
overtook	superato
pain-free	indolore
painless	indolore
painlessly	indolore
palatial	sontuoso
pamper	coccolare
pampered	coccolati
pampers	coccola
panoramic	panoramico
paradise	Paradiso
paramount	supremo
pardon	perdono
passion	passione
passionate	appassionato
passionately	appassionatamente
patience	pazienza
patient	paziente
patiently	pazienza
patriot	patriota
patriotic	patriottico
peace	pace
peaceable	pacifico
peacefully	pacificamente
peach	pesca
peerless	impareggiabile
pepping	Pepping
peppy	energico
perfect	perfezionare
perfection	perfezione
perfectly	perfettamente
permissible	ammissibile
perseverance	perseveranza
persevere	perseverare
personages	personaggi
personalized	personalizzato
phenomenal	fenomenale
phenomenally	fenomenale
picturesque	pittoresco
piety	religiosità
pinnacle	pinnacolo
playful	giocoso
playfully	giocosamente
pleasant	piacevole
pleasantly	piacevolmente
pleased	contento
pleases	aggrada
pleasing	piacevole
pleasingly	piacevolmente
pleasurable	piacevole
pleasurably	piacevolmente
pleasure	piacere
plentiful	abbondante
pluses	plus
plush	felpa
poetic	poetico
poeticize	poeticizzare
poignant	commovente
poise	equilibrio
polished	lucidato
polite	gentile
politeness	cortesia
popular	popolare
portable	portatile
posh	elegante
positive	positivo
positively	positivamente
positives	positivi
powerful	potente
praise	lode
praiseworthy	lodevole
praising	lodando
pre-eminent	preminente
precious	prezioso
precise	preciso
precisely	precisamente
preeminent	preminente
prefer	preferire
preferable	preferibile
preferably	preferibilmente
prefered	preferito
preferring	preferendo
prefers	preferisce
prestige	prestigio
prestigious	prestigioso
prettily	graziosamente
pretty	bella
priceless	inestimabile
pride	orgoglio
privilege	privilegio
privileged	privilegiato
prize	premio
proactive	proattivi
prodigious	prodigioso
prodigiously	prodigiosamente
prodigy	prodigio
productive	produttivo
productively	produttivamente
proficient	competente
proficiently	abilmente
profound	profondo
profoundly	profondamente
profuse	profuso
profusion	profusione
progress	progresso
progressive	progressivo
prolific	prolifico
prominence	prominenza
prominent	prominente
promise	promettere
promised	promesso
promises	promesse
promising	promettente
promoter	promotore
prompt	richiesta
promptly	prontamente
proper	corretto
properly	propriamente
propitious	propizio
propitiously	propizio
pros	professionisti
prosper	prosperare
prosperity	prosperità
prosperous	prospero
protect	proteggere
protection	protezione
protective	protettivo
proud	orgoglioso
proven	comprovata
proves	dimostra
providence	provvidenza
proving	dimostrando
prowess	prodezza
prudence	prudenza
prudent	prudente
prudently	prudentemente
punctual	puntuale
pure	puro
purify	purificare
purposeful	intenzionale
quaint	pittoresco
qualified	qualificato
qualify	qualificarsi
quiet	silenzioso
radiance	splendore
radiant	radiante
rapid	rapido
rapport	rapporto
rapt	rapito
rapture	rapimento
rapturous	estatico
rational	razionale
razor-sharp	affilatissimo
reachable	raggiungibile
readable	leggibile
readily	prontamente
ready	pronto
reaffirm	riaffermare
reaffirmation	riaffermazione
realistic	realistico
realizable	realizzabile
reasonable	ragionevole
reasonably	ragionevolmente
reasoned	motivata
reassurance	rassicurazione
reassure	rassicurare
receptive	ricettivo
reclaim	reclamare
recomend	raccomandare
recommend	raccomandare
recommendation	raccomandazione
recommendations	raccomandazioni
recommended	consigliato
reconcile	riconciliare
reconciliation	riconciliazione
recover	recuperare
recovery	recupero
rectification	rettifica
rectify	rettificare
rectifying	rettifica
redeem	riscattare
redeeming	redentrice
redemption	redenzione
refine	raffinare
refined	raffinato
refinement	raffinatezza
reform	riforma
reformed	riformato
reforming	riforma
reforms	riforme
refresh	ricaricare
refreshed	rinfrescato
refreshing	rinfrescante
refund	rimborso
refunded	rimborsato
regal	regale
regally	regalmente
regard	considerare
rejoice	rallegrarsi
rejoicing	gioia
rejuvenate	ringiovanire
rejuvenated	ringiovanito
rejuvenating	rigenerante
relaxed	rilassato
relent	cedere
reliable	affidabile
reliably	affidabile
relief	sollievo
relish	assaporare
remarkable	notevole
remarkably	notevolmente
remedy	rimedio
remission	remissione
remunerate	retribuire
renaissance	Rinascimento
renewed	rinnovato
renown	fama
renowned	rinomato
replaceable	sostituibile
reputable	rispettabile
reputation	reputazione
resilient	resiliente
resolute	risoluto
resound	echeggiare
resounding	clamoroso
resourcefulness	intraprendenza
respect	rispetto
respectable	rispettabile
respectful	rispettoso
respectfully	rispettosamente
respite	tregua
resplendent	risplendente
restful	riposante
restored	restaurato
restructure	ristrutturare
restructured	ristrutturato
restructuring	ristrutturazione
retractable	retrattile
revel	baldoria
revelation	rivelazione
revere	riverire
reverence	riverenza
reverent	riverente
reverently	riverenza
revitalize	ravvivare
revival	rinascita
revive	rivivere
revives	rianimazioni
revolutionary	rivoluzionario
revolutionize	rivoluzionare
revolutionized	rivoluzionato
revolutionizes	rivoluziona
reward	ricompensa
rewarding	gratificante
rewardingly	Incredibilmente
rich	ricco
richly	riccamente
richness	ricchezza
right	destra
righteous	giusto
righteously	giustamente
righteousness	giustizia
rightful	legittimo
rightfully	giustamente
rightly	giustamente
rightness	giustezza
robust	robusto
romantic	romantico
romantically	romanticamente
roomy	spazioso
rosy	roseo
safe	sicuro
safely	tranquillamente
sagacity	sagacia
sagely	saggemente
saint	santo
saintliness	santità
salutary	salutare
salute	saluto
satisfactory	soddisfacente
satisfied	soddisfatto
satisfies	soddisfa
satisfy	soddisfare
satisfying	soddisfacente
saver	risparmiatore
savings	risparmi
savior	salvatore
savvy	esperto
scenic	panoramico
seasoned	condito
secure	sicuro
selective	selettivo
self-determination	autodeterminazione
self-satisfaction	autocompiacimento
self-sufficiency	autosufficienza
self-sufficient	autosufficiente
sensation	sensazione
sensational	sensazionale
sensationally	clamorosamente
sensations	sensazioni
sensible	sensibile
sensibly	Sensibilmente
sensitive	sensibile
serene	sereno
serenity	serenità
sharp	acuto
shimmering	scintillante
shine	brillare
shiny	brillante
significant	significativo
silent	silenzioso
simplified	semplificato
simplifies	semplifica
simplify	semplificare
simplifying	semplificando
sincere	sincero
sincerity	sincerità
skill	abilità
skilled	qualificato
skillful	abile
skillfully	abilmente
sleek	elegante
smart	inteligente
smartly	elegantemente
smile	Sorriso
smiles	sorrisi
smiling	sorridente
smilingly	sorridendo
smitten	colpito
smooth	liscio
smoothes	leviga
smoothest	liscio
smoothly	liscio
snappy	elegante
sociable	socievole
soft	morbido
solace	conforto
solicitous	sollecito
solicitously	sollecitudine
solid	solido
solidarity	solidarietà
soothe	lenire
soothingly	rassicurante
sophisticated	sofisticato
soulful	sentimentale
soundly	sonoramente
soundness	solidità
spacious	spazioso
sparkle	scintillare
sparkling	scintillante
spectacular	spettacolare
spectacularly	spettacolare
speedily	velocemente
speedy	veloce
spellbind	affascinare
spellbound	incantato
spirited	brioso
spiritual	spirituale
splendid	splendida
splendidly	splendidamente
splendor	splendore
spontaneous	spontaneo
sporty	sportivo
spotless	immacolato
sprightly	arzillo
stability	stabilità
stabilize	stabilizzare
stable	stabile
stainless	inossidabile
standout	spicca
state-of-the-art	all'avanguardia
stately	maestoso
statuesque	statuario
staunch	convinto
steadfast	costante
steadfastly	fermamente
steadfastness	fermezza
steadiness	costanza
steady	costante
stellar	stellare
stimulate	stimolare
stimulates	stimola
stimulating	stimolante
straighten	raddrizzare
straightforward	schietto
streamlined	aerodinamico
striking	suggestivo
strikingly	sorprendentemente
striving	sforzandosi
strong	forte
stunned	stordito
stunning	sbalorditivo
stunningly	incredibilmente
stupendous	stupendo
stupendously	stupendamente
sturdy	robusto
stylish	elegante
stylishly	elegantemente
stylized	stilizzato
suave	soave
subsidize	sovvenzionare
subsidized	sovvenzionato
subsidizes	sovvenziona
subsidizing	sovvenzionando
substantive	sostanziale
succeeded	successo
succeeding	successivo
succeeds	riesce
success	successo
successes	successi
successful	riuscito
suffice	bastare
sufficed	sufficiente
sufficient	sufficiente
sufficiently	sufficientemente
suitable	adatto
sumptuous	sontuoso
sumptuously	sontuosamente
sumptuousness	sontuosità
superb	superbo
superbly	superbamente
superior	superiore
superiority	superiorità
supple	flessibile
support	supporto
supported	supportato
supporter	sostenitore
supporting	supporto
supportive	supporto
supports	supporti
supremacy	supremazia
supreme	supremo
supremely	supremamente
supurbly	superbamente
surmount	superare
surpass	superare
surreal	surreale
survival	sopravvivenza
survivor	sopravvissuto
sustainability	sostenibilità
sustainable	sostenibile
swank	ostentazione
swanky	sciccoso
sweeping	radicale
sweet	dolce
sweeten	addolcire
sweetheart	Tesoro
sweetly	dolcemente
