abound	abonder
beckoning	attirer
beckons	Beckons
believable	croyable
believeable	crédible
beloved	aimé
benefactor	bienfaiteur
beneficent	bienfaisant
beneficial	bénéfique
beneficially	bénéfique
beneficiary	Bénéficiaire
benefit	avantage
benefits	avantages
benevolence	bienveillance
benevolent	bienveillant
best	meilleur
better	meilleur
beutifully	Beutifully
blameless	irréprochable
bless	bénir
blessing	bénédiction
bliss	félicité
blissful	bienheureux
blithe	joyeux
blockbuster	superproduction
bloom	Floraison
blossom	fleur
bolster	traversin
bonny	beau
bonus	prime
bonuses	bonus
boost	renforcer
bountiful	généreux
brainy	intelligent
brave	courageux
bravery	bravoure
bravo	Bravo
breakthrough	percée
breakthroughs	percées
breathlessness	essoufflement
breathtaking	Stupéfiant
breeze	brise
bright	brillant
brighten	éclairer
brilliance	éclat
brilliant	brillant
brilliantly	brillamment
brisk	rapide
brotherly	fraternel
bullish	haussier
buoyant	flottable
cajole	cajoler
calm	calme
calming	calmant
calmness	calme
capability	aptitude
capably	habilement
captivate	captiver
captivating	captivant
carefree	insouciant
catchy	entraînant
celebrate	célébrer
celebrated	célèbre
celebration	fête
celebratory	célébration
champ	champion
charisma	charisme
charismatic	charismatique
charm	charme
charming	charmant
cheer	acclamation
cheery	gai
cherish	chérir
cherished	chéri
cherub	chérubin
chic	élégant
chivalrous	chevaleresque
chivalry	chevalerie
civility	civilité
civilize	civiliser
clarity	clarté
classic	classique
classy	chic
clean	nettoyer
cleaner	nettoyeur
cleanliness	propreté
cleanly	propre
clear	clair
cleared	effacé
clearly	clairement
clears	efface
clever	intelligent
cleverly	habilement
cohere	adhérer
coherent	cohérent
cohesive	cohésif
colorful	coloré
comely	belle
comfort	confort
comfortable	confortable
comfortably	confortablement
comforting	réconfortant
comfy	confortable
commend	saluer
commendable	louable
commendably	louable
commitment	engagement
commodious	spacieux
compassionate	compatissant
competitive	compétitif
complement	complément
complementary	complémentaire
complemented	complémenté
complements	compléments
compliant	conforme
complimentary	gratuit
comprehensive	complet
conciliate	concilier
conciliatory	conciliatoire
concise	concis
confidence	confiance
congenial	agréable
congratulate	féliciter
congratulation	félicitation
conscientious	consciencieux
considerate	prévenant
consistent	cohérent
consistently	régulièrement
constructive	constructif
consummate	consommé
contentment	contentement
continuity	continuité
contrasty	contrasté
convenience	commodité
convenient	pratique
conveniently	commodément
convienient	Convienient
convincing	convaincant
convincingly	convaincant
cooperative	coopérative
correctly	correctement
cost-effective	rentable
counter-attack	contre-attaque
courageous	courageux
courageously	courageusement
courageousness	courageux
courteous	courtois
courtly	courtois
covenant	engagement
cozy	confortable
creative	Créatif
credence	foi
credible	crédible
crisp	croustillant
cure	guérir
cushy	pépère
cute	mignonne
cuteness	gentillesse
daring	audacieux
darling	chéri
dashing	fringant
dauntless	intrépide
dawn	Aube
dazzle	éblouir
dazzled	ébloui
dazzling	éblouissant
dead-on	mort-sur
decency	décence
decent	décent
decisive	décisif
decisiveness	détermination
dedicated	dévoué
defeat	défaite
defeated	vaincu
defeating	défaite
defeats	défaites
defender	défenseur
deference	respect
deft	habile
deginified	déginifié
delectable	délectable
delicacy	délicatesse
delicate	délicat
delicious	délicieux
delight	délice
delighted	Enchanté
delightful	délicieux
delightfully	délicieusement
delightfulness	délice
dependable	sûr
deserving	méritant
desirable	souhaitable
desiring	désirant
desirous	désireux
destiny	destin
detachable	détachable
devout	pieux
dexterous	agile
dexterously	dextérité
dextrous	agile
dignified	digne
dignify	honorer
dignity	dignité
diligently	diligemment
diplomatic	diplomatique
distinctive	distinctif
distinguished	distingué
diversified	diversifié
divine	Divin
divinely	divinement
dominate	dominer
dominated	dominé
dominates	domine
dotingly	pointingly
dumbfounded	abasourdi
dumbfounding	stupéfaction
dynamic	dynamique
eager	désireux
eagerly	vivement
eagerness	ardeur
earnest	sérieux
earnestly	sérieusement
earnestness	sérieux
ease	facilité
eased	assoupli
eases	facilite
easiness	facilité
easing	soulager
easy	facile
ebullience	exubérance
ebullient	exubérant
ebulliently	follement
ecenomical	ecnomique
economical	économique
ecstasies	extases
ecstasy	extase
ecstatically	extatique
edify	édifier
educated	éduqué
effective	efficace
effectively	efficacement
effectiveness	efficacité
effectual	efficace
efficacious	efficace
efficient	efficace
efficiently	efficacement
effusive	expansif
effusively	effusivement
effusiveness	effusion
elate	éloge
elated	exalté
elatedly	exalté
elation	allégresse
electrify	électrifier
elegance	élégance
elegant	élégant
elegantly	élégamment
elevate	élever
elite	élite
eloquence	éloquence
eloquent	éloquent
embolden	enhardir
eminence	éminence
eminent	éminent
empathize	empathiser
empathy	empathie
empower	habiliter
empowerment	autonomisation
enchant	enchanter
enchanted	enchanté
enchanting	enchanteur
enchantingly	enchantement
encourage	encourager
encouraging	encourageant
encouragingly	encourageant
endearing	attachant
endorse	endosser
endorsed	approuvé
endorsement	approbation
endorses	endosse
endorsing	endosser
energetic	énergique
energize	dynamiser
engaging	engageant
engrossing	captivant
enhance	améliorer
enhanced	renforcée
enhancement	renforcement
enhances	améliore
enjoyable	agréable
enjoyably	agréablement
enjoyed	apprécié
enjoying	appréciant
enjoyment	jouissance
enjoys	aime
enlighten	éclairer
enlightenment	éclaircissement
enliven	animer
ennoble	ennoblir
enough	assez
enrapture	ravir
enraptured	ravi
enrich	enrichir
enrichment	enrichissement
enterprising	entreprenant
entertain	divertir
entertaining	divertissant
entertains	divertit
enthral	captiver
enthrall	captiver
enthralled	captivé
enthuse	enthousiasmer
enthusiasm	enthousiasme
enthusiast	passionné
enthusiastic	enthousiaste
entice	attirer
enticed	séduit
enticing	séduisant
enticingly	séduisant
entranced	ravi
entrancing	ravissant
entrust	confier
enviably	enviablement
envious	envieux
enviousness	envie
envy	envie
equitable	équitable
ergonomical	ergonomique
erudite	érudit
ethical	éthique
euphoria	euphorie
euphoric	euphorique
euphorically	euphoriquement
evaluative	évaluatif
evenly	uniformément
eventful	mouvementé
everlasting	éternel
evocative	évocateur
exalt	exalter
exalted	exalté
exaltedly	exalément
exalting	exaltant
exaltingly	exaltant
examplar	exemple
examplary	exemple
exceed	dépasser
exceeded	dépassé
exceeding	dépassement
exceedingly	extrêmement
exceeds	dépasse
excel	exceller
exceled	excelée
excelent	excellent
excellant	excellent
excelled	excellé
excellency	Excellence
excellently	parfaitement
excels	excelle
exceptional	exceptionnel
exceptionally	exceptionnellement
excite	exciter
excited	excité
excitedness	excitation
excitement	excitation
excites	excite
exciting	passionnant
excitingly	passionnément
exemplar	exemple
exemplary	exemplaire
exhilarate	exaltant
exhilarating	exaltant
exhilaratingly	exaltant
exhilaration	euphorie
exonerate	disculper
expansive	expansif
expeditiously	rapidement
expertly	expertement
exquisite	exquis
exquisitely	exquisement
extol	exalter
extoll	exalter
extraordinarily	extraordinairement
extraordinary	extraordinaire
exuberance	exubérance
exuberant	exubérant
exuberantly	exubérante
exult	exulter
eye-catch	accrocheur
eye-catching	accrocheur
eyecatching	attirant
fabulous	fabuleux
fabulously	fabuleusement
facilitate	faciliter
fair	juste
fairly	équitablement
fairness	justice
faith	Foi
faithful	fidèle
faithfully	fidèlement
faithfulness	fidélité
fame	célébrité
famed	célèbre
famous	célèbre
famously	fameusement
fancier	amateur
fancinating	fancy
fancy	fantaisie
fans	Ventilateurs
fantastic	fantastique
fantastically	fantastique
fascinate	fasciner
fascinating	fascinant
fascinatingly	fascinante
fast	vite
fast-paced	rapide
faultless	irréprochable
favor	favoriser
favored	favorisé
favorite	préféré
favorited	favorisé
favour	favoriser
feasible	réalisable
feasibly	faisablement
feat	exploit
fecilitous	fécond
feisty	fougueuse
felicitate	féliciter
felicitous	heureux
felicity	félicité
fervid	fervent
fervidly	fervement
fervor	ferveur
fidelity	fidélité
fiery	ardent
fine	bien
fine-looking	beau
finely	finement
flattering	flatteur
flawlessly	parfaitement
flourish	fleurir
flourishing	florissant
fluent	courant
flutter	battement
fondly	affectueusement
fondness	penchant
foolproof	infaillible
foresight	prévoyance
formidable	redoutable
fortitude	courage
fortuitous	fortuit
fortuitously	fortuitement
fortunate	chanceux
fortunately	Heureusement
fragrant	parfumé
free	gratuit
freed	libéré
freedom	liberté
freedoms	libertés
fresh	Frais
friendly	amical
frolic	gambader
fruitful	fructueux
fulfillment	accomplissement
fun	amusement
futurestic	futuriste
futuristic	futuriste
gaiety	gaieté
gaily	gaiement
gain	Gain
gained	gagné
gainful	rémunéré
gaining	gagner
gallant	galant
gallantly	galamment
geeky	geek
gem	gemme
gems	gemmes
generosity	générosité
generous	généreuse
generously	généreusement
genial	génial
genius	génie
gentle	doux
genuine	authentique
gifted	doué
gladden	réjouir
gladly	volontier
gladness	joie
glamorous	glamour
glee	joie
gleeful	joyeux
gleefully	joyeusement
glimmer	lueur
glimmering	scintillant
glisten	luire
glistening	brillant
glitter	briller
glorify	glorifier
glorious	glorieux
gloriously	glorieusement
glory	gloire
glow	lueur
glowing	embrasé
glowingly	brillamment
godlike	divin
gold	or
golden	d'or
good	bien
goodly	beau
gorgeous	magnifique
gorgeously	magnifiquement
graceful	gracieux
gracious	gracieux
graciously	gracieusement
graciousness	grâce
grand	grandiose
grateful	reconnaissant
gratified	gratifié
gratify	satisfaire
gratifying	gratifiant
gratifyingly	gratifiant
gratitude	Reconnaissance
great	génial
greatness	grandeur
grin	sourire
groundbreaking	révolutionnaire
guarantee	garantie
guidance	orientation
guiltless	innocent
gumption	jugeote
gush	jet
gusto	enthousiasme
hail	saluer
halcyon	alcyon
hale	vigoureux
hallmark	poinçonner
hallmarks	poinçons
hallowed	sanctifié
handily	facilement
handsome	Beau
handsomely	grassement
handy	pratique
happily	Heureusement
happiness	bonheur
happy	content
hard-working	travailleur
hardy	robuste
harmless	inoffensif
harmonious	harmonieux
harmoniously	harmonieusement
harmonize	harmoniser
harmony	harmonie
headway	l'avance
heal	guérir
healthful	salubre
hearten	encourager
heartening	réconfortant
heartfelt	sincère
heartily	chaleureusement
heartwarming	réconfortant
heaven	paradis
heavenly	céleste
helped	aidé
helpful	utile
helping	portion
hero	héros
heroic	héroïque
heroically	héroïquement
heroine	héroïne
heroize	héroiser
heros	héros
hilarious	hilarant
holy	saint
homage	hommage
honest	honnête
honesty	honnêteté
honor	honneur
honored	honoré
honoring	honorer
hooray	hourra
hopeful	optimiste
hospitable	hospitalier
hot	chaud
hug	étreinte
humane	humain
humility	humilité
humor	humour
humorous	humoristique
humourous	humoristique
ideal	idéal
idealize	idéaliser
ideally	idéalement
idol	idole
idolize	idolâtrer
idolized	idolâtré
idyllic	idyllique
illuminate	éclairer
illuminating	éclairant
illumine	éclairer
illustrious	illustre
imaculate	imaculer
imaginative	imaginatif
immaculate	immaculé
immaculately	parfaitement
impartiality	impartialité
impartially	impartialement
impassioned	passionné
impeccably	impeccablement
impress	impressionner
impressed	impressionné
impresses	impressionne
impressive	impressionnant
impressively	impressionnante
impressiveness	impressionner
improve	améliorer
improved	amélioré
improvement	amélioration
improves	améliore
improving	améliorer
incredible	incroyable
incredibly	incroyablement
indebted	endetté
individualized	individualisé
industrious	industrieux
inestimably	inestimable
infallibility	infaillibilité
infallible	infaillible
infallibly	infailliblement
influential	influent
ingenious	ingénieux
ingeniously	ingénieusement
ingenuity	ingéniosité
ingenuous	ingénu
ingenuously	ingénument
innocuous	inoffensif
innovative	innovant
inpressed	inpressé
insightful	perspicace
insightfully	perspicace
inspirational	inspirant
inspire	inspirer
inspiring	inspirant
instantly	immédiatement
instructive	instructif
integral	intégral
integrated	intégré
interesting	intéressant
interests	intérêts
intimacy	intimité
intimate	intime
intricate	complexe
intriguing	intrigant
intriguingly	intrigant
intuitive	intuitif
invaluable	inestimable
invaluablely	inestimable
inventive	inventif
invigorate	revigorer
invigorating	vivifiant
invincibility	invincibilité
inviolate	inviolé
invulnerable	invulnérable
irreplaceable	irremplaçable
irreproachable	irréprochable
irresistible	irrésistible
irresistibly	irrésistiblement
jaw-droping	mâchoire
jollify	jollifier
jolly	gai
joy	joie
joyful	joyeux
joyfully	joyeusement
joyous	joyeux
joyously	joyeusement
jubilant	radieux
jubilantly	jubiler
jubilate	jubiler
judicious	judicieux
justly	justement
keen	enthousiaste
keenly	vivement
keenness	finesse
kindliness	bonté
kindly	gentiment
kudos	gloire
laud	louange
laudable	louable
laudably	louable
lavish	prodiguer
lavishly	somptueusement
lawful	légitime
lawfully	légalement
lead	conduire
leads	pistes
lean	maigre
led	LED
legendary	légendaire
leverage	influence
levity	légèreté
liberate	libérer
liberation	libération
liberty	liberté
lifesaver	sauveteur
likable	sympathique
like	comme
liked	aimé
likes	aime
liking	aimer
lively	animé
logical	logique
lovable	aimable
lovably	aimablement
love	amour
loved	aimé
loveliness	beauté
lovely	charmant
lover	amoureux
loves	amours
loving	aimant
loyal	fidèle
loyalty	fidélité
lucid	lucide
lucidly	lucidement
lucky	chanceux
lucrative	lucratif
luminous	lumineux
lush	luxuriant
luster	lustre
lustrous	lustré
luxurious	luxueux
luxuriously	luxueusement
luxury	luxe
lyrical	lyrique
magical	magique
magnanimous	magnanime
magnanimously	magnanimement
magnificent	magnifique
magnificently	superbement
majestic	majestueux
majesty	majesté
manageable	maniable
maneuverable	maniable
marvel	merveille
marveled	émerveillé
marvelled	émerveillé
marvellous	merveilleux
marvelous	merveilleux
marvelously	merveilleusement
marvelousness	merveilleuse
master	maîtriser
masterful	magistral
masterfully	magistralement
masterpiece	chef-d'oeuvre
masterpieces	chefs-d'œuvre
masters	maîtrise
matchless	incomparable
maturely	mûrement
maturity	maturité
meaningful	significatif
memorable	mémorable
merciful	miséricordieux
mercifully	miséricordieusement
mercy	pitié
merit	mérite
meritorious	méritoire
merrily	joyeusement
merriment	gaieté
merriness	gaieté
merry	joyeux
mesmerize	hypnotiser
mesmerized	hypnotisé
mesmerizes	hypnotise
mesmerizing	hypnotisant
mesmerizingly	hypnotisant
meticulous	méticuleux
meticulously	méticuleusement
mightily	puissamment
mighty	puissant
mind-blowing	époustouflant
miraculous	miraculeux
miraculously	miraculeusement
miraculousness	miraculeuse
modern	moderne
modest	modeste
modesty	modestie
momentous	important
monumentally	monumentalement
morality	moralité
motivated	motivé
multi-purpose	polyvalent
neat	soigné
neatest	propre
neatly	soigneusement
nice	agréable
nicely	bien
nifty	chouette
nimble	agile
nobly	noblement
notably	notamment
noteworthy	remarquable
nourish	nourrir
nourishing	nourrissant
nourishment	nourriture
novelty	nouveauté
nurturing	nourrir
obtainable	disponible
openly	ouvertement
openness	ouverture
optimism	optimisme
optimistic	optimiste
orderly	ordonné
originality	originalité
outdo	surpasser
outdone	surpasser
outperform	surpasser
outperformed	surperformé
outperforming	surperformer
outperforms	surperforme
outshine	éclipser
outsmart	malchance
outstanding	exceptionnel
outstandingly	remarquablement
outstrip	dépasser
overtake	dépasser
overtaken	dépassé
overtakes	dépassements
overtaking	dépassement
overtook	dépassé
overture	ouverture
palatial	grandiose
pamper	dorloter
pampered	choyé
pamperedly	choyé
pamperedness	choyer
panoramic	panoramique
paradise	paradis
paramount	primordial
passionate	passionné
passionately	passionnément
patiently	patiemment
patriot	patriote
patriotic	patriotique
peace	paix
peaceable	paisible
peaceful	paisible
peacefully	pacifiquement
peach	pêche
pep	dynamisme
pepped	piqué
peppy	énergique
perfect	parfait
permissible	permis
perseverance	persévérance
persevere	persévérer
personages	personnages
personalized	personnalisé
phenomenal	phénoménal
phenomenally	phénoménalement
picturesque	pittoresque
piety	piété
pinnacle	sommet
playful	espiègle
playfully	ludique
pleasant	agréable
pleasantly	agréablement
pleased	heureux
pleasing	plaisant
pleasingly	agréablement
pleasurable	agréable
pleasurably	agréablement
pleasure	plaisir
plentiful	copieux
pluses	plus
plush	peluche
poetic	poétique
poeticize	poétiser
poise	équilibre
polished	brillant
polite	poli
politeness	politesse
popular	populaire
posh	chic
positive	positif
positively	positivement
positives	positifs
powerful	puissant
powerfully	puissamment
praise	louange
praiseworthy	louable
praising	louer
pre-eminent	prééminent
precious	précieux
precise	précis
precisely	précisément
preeminent	prééminent
prefer	préférer
preferable	préférable
prefered	préféré
preferes	préfère
preferring	préférant
prefers	préfère
prestigious	prestigieux
prettily	joliment
pretty	joli
priceless	inestimable
pride	fierté
privilege	privilège
privileged	privilégié
prize	prix
proactive	proactif
prodigious	prodigieux
prodigiously	prodigieusement
prodigy	prodige
productive	productif
productively	productivement
proficient	compétent
profound	profond
profoundly	profondément
profuse	abondant
prolific	prolifique
prominence	importance
prominent	important
promise	promettre
promised	promis
promises	promesses
promising	prometteur
promoter	promoteur
prompt	rapide
promptly	rapidement
proper	correct
properly	correctement
propitious	propice
propitiously	propice
pros	avantages
prosper	prospérer
prosperous	prospère
protect	protéger
protective	protecteur
proud	fier
proven	éprouvé
proves	prouve
providence	Providence
proving	prouver
prowess	prouesse
prudently	prudemment
punctual	ponctuel
pure	pur
purify	purifier
purposeful	déterminé
quaint	pittoresque
qualified	qualifié
qualify	qualifier
quiet	silencieux
radiance	éclat
rapid	rapide
rapt	ravi
rapture	ravissement
raptureous	ravi
rapturous	enthousiaste
rational	rationnel
reachable	accessible
readable	lisible
readily	facilement
ready	prêt
reaffirm	réaffirmer
reaffirmation	réaffirmation
realistic	réaliste
realizable	réalisable
reasonable	raisonnable
reasonably	raisonnablement
reasoned	raisonné
reassurance	réconfort
reassure	rassurer
receptive	réceptif
reclaim	récupérer
recommend	recommander
recommendation	recommandation
recommendations	recommandations
recommended	conseillé
reconcile	réconcilier
reconciliation	réconciliation
record-setting	enregistrement
recover	récupérer
recovery	récupération
rectify	rectifier
rectifying	rectifier
redeem	racheter
redeeming	racheter
redemption	rachat
refine	affiner
refined	raffiné
refinement	raffinement
reform	réforme
reformed	réformé
reforming	réformer
reforms	réformes
refresh	rafraîchir
refreshed	rafraîchi
refreshing	rafraîchissant
refund	rembourser
refunded	remboursé
regal	royal
regally	royalement
rejoice	réjouir
rejoicing	réjouissance
rejoicingly	joyeusement
rejuvenate	rajeunir
rejuvenated	rajeuni
rejuvenating	rajeunir
relaxed	détendu
reliable	fiable
reliably	fiable
relish	goût
remarkable	remarquable
remarkably	remarquablement
remedy	remède
remission	remise
remunerate	rémunérer
renaissance	Renaissance
renewed	renouvelé
renown	renommée
renowned	renommé
replaceable	remplaçable
reputable	honorable
reputation	réputation
resilient	résilient
resolute	résolu
resound	retentir
resounding	retentissant
resourceful	ingénieux
resourcefulness	ressource
respectful	respectueux
respite	répit
resplendent	resplendissant
responsibly	responsable
responsive	sensible
restful	reposant
restored	restauré
restructure	restructurer
restructured	restructuré
restructuring	restructuration
retractable	rétractable
revelation	révélation
revere	révérer
reverence	révérence
reverent	respectueux
revitalize	revitaliser
revive	relancer
revives	ravive
revolutionary	révolutionnaire
revolutionize	révolutionner
revolutionized	révolutionné
revolutionizes	révolutionne
reward	récompense
rewarding	récompense
rewardingly	gratifiant
rich	riches
richly	richement
richness	richesse
right	droite
righten	éclairer
righteous	vertueux
righteousness	droiture
rightful	légitime
rightfully	légitimement
rightly	justement
rightness	justesse
robust	robuste
romantic	romantique
romantically	romantique
romanticize	romancer
roomy	spacieux
rosy	rosé
safe	sûr
sagacity	sagacité
sagely	sagement
saint	Saint
saintliness	sainteté
saintly	saint
salutary	salutaire
salute	saluer
sane	sain
satisfactory	satisfaisant
satisfied	satisfait
satisfies	satisfait
satisfy	satisfaire
satisfying	satisfaisant
satisified	satisifié
saver	épargnant
savior	Sauveur
scenic	scénique
seasoned	chevronné
secure	garantir
securely	solidement
selective	sélectif
self-determination	autodétermination
self-satisfaction	auto-satisfaction
self-sufficiency	autosuffisance
self-sufficient	autosuffisant
sensational	sensationnel
sensationally	sensationnellement
sensibly	sensiblement
sensitive	sensible
serene	serein
serenity	sérénité
sharp	tranchant
shimmering	chatoyant
shimmeringly	scintillant
shine	éclat
shiny	brillant
significant	important
silent	silencieux
simplified	simplifié
simplifies	simplifie
simplify	simplifier
simplifying	simplifier
sincere	sincère
sincerely	Cordialement
skill	compétence
skilled	qualifié
skillful	habile
skillfully	habilement
sleek	lisse
slick	nappe
smart	intelligent
smartly	intelligemment
smile	sourire
smiling	souriant
smilingly	souriant
smitten	frappé
smooth	lisse
smoothes	lisse
smoothly	doucement
snappy	accrocheur
soft	doux
solace	réconfort
solicitous	soucieux
solid	solide
solidarity	solidarité
soothe	apaiser
soothingly	apaisant
sophisticated	sophistiqué
soulful	émouvant
soundly	profondément
soundness	solidité
spacious	spacieux
sparkle	scintillait
sparkling	pétillant
spectacular	spectaculaire
spectacularly	spectaculairement
speedily	rapidement
speedy	rapide
spellbind	fasciner
spellbinding	envoûtement
spellbindingly	envoûtant
spellbound	envoûté
spirited	fougueux
spiritual	spirituel
splendid	splendide
splendidly	magnifiquement
splendor	splendeur
spontaneous	spontané
sporty	sportif
spotless	impeccable
sprightly	vif
stabilize	stabiliser
stainless	inoxydable
standout	ressortir
stately	majestueux
statuesque	sculptural
staunch	étancher
staunchly	résolument
staunchness	fermeté
steadfast	ferme
steadfastly	résolument
steadfastness	constance
steadiness	stabilité
steady	stable
stellar	stellaire
stellarly	stellaire
stimulate	stimuler
stimulates	stimule
stimulating	stimulant
stimulative	stimulant
straighten	redresser
straightforward	simple
streamlined	rationalisé
striking	frappant
strikingly	étonnamment
striving	s'efforcer
strong	fort
stunned	étourdi
stunning	étourdissant
stunningly	étonnamment
stupendous	prodigieux
stupendously	prodigieusement
sturdy	solide
stylish	élégant
stylized	stylisé
suavely	suavement
subsidize	subventionner
subsidized	subventionné
subsidizes	subventionne
subsidizing	subventionner
substantive	substantiel
succeed	réussir
succeeded	réussi
succeeding	réussir
succeeds	réussit
success	Succès
successes	succès
successful	réussi
suffice	suffire
sufficed	suffisant
suffices	suffit
sufficient	suffisant
sufficiently	suffisamment
suitable	adapté
sumptuous	somptueux
sumptuously	somptueusement
sumptuousness	somptuosité
superb	superbe
superbly	superbement
superior	supérieur
superiority	supériorité
supple	souple
support	soutien
supporter	Supporter
supporting	justificatif
supportive	favorable
supremacy	suprématie
supreme	suprême
supremely	suprêmement
supurb	dominer
surmount	surmonter
surpass	dépasser
surreal	surréaliste
survival	survie
survivor	survivant
sustainability	durabilité
sustainable	durable
swank	esbroufe
swanky	chic
sweeping	balayage
sweet	doux
sweeten	sucrer
sweetheart	amoureux
sweetly	gentiment
sweetness	douceur
swift	rapide
swiftness	rapidité
talent	Talent
talented	talentueux
tantalize	tenter
tantalizing	alléchant
tantalizingly	alléchant
tempt	tenter
tempting	tentant
temptingly	tentant
tenacious	tenace
tenacity	ténacité
tender	soumissionner
tenderly	tendrement
terrific	terrifiant
terrifically	terriblement
thank	remercier
thankful	reconnaissant
thoughtful	réfléchi
thoughtfully	pensivement
thoughtfulness	prévenance
thrift	épargne
thrifty	économe
thrill	frisson
thrilled	ravi
thrilling	palpitant
thrillingly	passionnément
thrills	frissons
thrive	prospérer
thriving	prospère
tickle	chatouiller
tidy	rangé
time-honored	honoré
timely	opportun
tingle	picotement
titillate	titiller
titillating	titillant
titillatingly	titillant
togetherness	unité
tolerable	tolérable
toll-free	gratuit
top	Haut
top-notch	excellent
topnotch	excellent
tough	dure
tranquil	tranquille
tranquility	tranquillité
treasure	Trésor
tremendously	énormément
trendy	branché
triumph	triomphe
triumphal	triomphal
triumphant	triomphant
triumphantly	triomphalement
trivially	trivialement
trophy	trophée
trump	atout
trumpet	trompette
trust	confiance
trusting	confiant
trustworthiness	fiabilité
trusty	sûr
truthful	véridique
truthfully	sincèrement
truthfulness	véracité
ultra-crisp	ultra-croustillant
unassailable	inattaquable
unbeatable	imbattable
unbiased	impartial
unconditional	inconditionnel
undaunted	intrépide
understandable	compréhensible
undisputable	indiscutable
undisputably	indiscutablement
undisputed	incontesté
unfazed	imperturbable
unforgettable	inoubliable
unity	unité
unlimited	illimité
unmatched	incomparable
unquestionable	incontestable
unquestionably	incontestablement
unreal	irréel
unrestricted	libre
unselfish	généreux
unwavering	inébranlable
upbeat	optimiste
upgradable	évolutif
upgradeable	évolutif
upheld	confirmé
uphold	défendre
uplift	soulèvement
uplifting	édifiant
upliftingly	exaltant
upliftment	élévation
usable	utilisable
useable	utilisable
useful	utile
user-friendly	convivial
valiant	vaillant
valiantly	vaillamment
valor	valeur
variety	variété
venerate	vénérer
verifiable	vérifiable
veritable	véritable
versatile	polyvalent
versatility	versatilité
vibrantly	vibrant
victorious	victorieux
viewable	visible
virtue	vertu
virtuous	vertueux
virtuously	vertueusement
visionary	visionnaire
vivacious	vivace
vivid	vif
vouch	garant
vouchsafe	accorder
warm	chaud
warmhearted	chaleureux
warmly	chaleureusement
warmth	chaleur
wealthy	riches
welcome	Bienvenue
well	bien
well-being	bien-être
well-wishers	bien-vouloir
wellbeing	bien-être
wholesome	sain
wieldy	Wieldy
willing	prêt
willingly	volontiers
willingness	volonté
win	gagner
windfall	aubaine
winner	gagnant
winners	gagnants
winning	gagnant
wins	gagne
wisdom	sagesse
wise	sage
wisely	judicieusement
witty	spirituel
wonder	merveille
wonderful	formidable
wonderfully	merveilleusement
wonderous	merveilleux
wonderously	merveilleusement
wonders	merveilles
wondrous	merveilleux
woo	courtiser
work	travail
workable	réalisable
worked	travaillé
works	travaux
worth	vaut
worthiness	mérite
worthy	digne
wow	sensationnel
wowed	ravi
yay	Yay
youthful	jeune
zeal	zèle
zenith	zénith
zest	zeste
abnormal	anormal
abolish	abolir
