abound	bugne
attentive	opmærksom
attraction	attraktion
attractive	tiltrækkende
attractively	smukt
attune	afstemme
audible	hørbar
audibly	hørbart
auspicious	lovende
authentic	autentisk
authoritative	autoritativ
autonomous	autonom
available	ledig
avid	ivrig
avidly	begærligt
award	pris
awarded	tildelt
awards	priser
awe	ærefrygt
awed	imponeret
awesome	fantastisk
backbone	rygrad
balanced	afbalanceret
bargain	forhandle
beauteous	skønne
beautiful	smuk
beautifully	smukt
beautify	forskønne
beauty	skønhed
beckon	vinke
beckoned	vinkede
beckoning	vinkende
beckons	vinker
believable	troværdig
beloved	elskede
benefactor	velgører
beneficial	gavnlig
beneficiary	støttemodtager
benefit	fordel
benefits	fordele
benevolence	velvilje
benevolent	velvillige
benifits	kvalifiicere
best	bedst
best-selling	bedstsælgende
better	bedre
bless	velsigne
blessing	velsignelse
bliss	lyksalighed
blissful	salig
blissfully	saligt
blithe	blithe
bloom	flor
blossom	blomst
bolster	styrke
bonuses	bonusser
booming	blomstrende
boost	løft
boundless	grænseløs
bountiful	sprudlende
brainy	hjernemæssig
brave	modig
bravery	tapperhed
breakthroughs	gennembrud
breathlessness	åndenød
breathtaking	betagende
breathtakingly	åndeløst
breeze	brise
bright	lyse
brighten	lysne
brighter	lysere
brightest	lyseste
brilliance	glans
brilliant	strålende
brilliantly	glimrende
brisk	rask
brotherly	broderlig
buoyant	opdrift
cajole	lokke
calm	berolige
calming	beroligende
calmness	stilhed
capability	evne
capably	dygtigt
captivate	fange
captivating	fængslende
carefree	sorgløs
catchy	iørefaldende
celebrate	fejre
celebrated	fejret
celebration	fest
celebratory	festlig
charisma	karisma
charismatic	karismatisk
charitable	velgørende
charm	charme
charming	charmerende
charmingly	charmerende
chaste	kysk
cheaper	billigere
cheapest	billigste
cheer	opmuntre
cheerful	glad
cheery	muntre
cherish	værdsætte
cherished	skattede
cherub	kerub
chivalrous	ridderlig
chivalry	ridderlighed
civility	høflighed
civilize	civilisere
clarity	klarhed
classic	klassisk
classy	klassiske
clean	ren
cleaner	renere
cleanest	reneste
cleanliness	renhed
cleanly	rent
clear	klar
clear-cut	klare
cleared	ryddet
clearer	klarere
clearly	klart
clears	rydder
clever	dygtig
cleverly	behændigt
coherence	sammenhæng
coherent	sammenhængende
cohesive	sammenhængende
colorful	farverig
comfort	komfort
comfortable	komfortabel
comfortably	komfortabelt
comforting	trøstende
commend	rose
commendable	prisværdigt
commendably	prisværdigt
commitment	forpligtelse
compact	kompakt
compactly	kompakt
compassion	medfølelse
compassionate	medfølende
compatible	kompatibel
competitive	konkurrencedygtig
complement	supplement
complementary	komplementær
complemented	suppleret
complements	supplerer
compliant	kompatibel
compliment	kompliment
complimentary	gratis
comprehensive	omfattende
conciliate	formilde
conciliatory	forsonlig
concise	kortfattet
confidence	tillid
confident	selvsikker
congenial	sympatisk
congratulate	lykønske
congratulation	lykønskning
congratulations	tillykke
congratulatory	komplimenterende
conscientious	samvittighedsfuld
considerate	hensynsfuld
consistent	konsekvent
consistently	konsekvent
constructive	konstruktiv
consummate	djævleblændt
contentment	tilfredshed
continuity	kontinuitet
contrasty	kontrastrige
contribution	bidrag
convenience	bekvemmelighed
convenient	praktisk
conveniently	bekvemt
convincing	overbevisende
convincingly	overbevisende
coolest	fedeste
cooperative	samarbejdsvillig
cooperatively	kooperativt
cornerstone	hjørnesten
correct	korrekt
correctly	korrekt
cost-effective	omkostningseffektiv
cost-saving	omkostningsbesparende
counter-attack	modangreb
counter-attacks	modangreb
courage	mod
courageous	modig
courageously	modigt
courteous	høflig
courtly	høviske
covenant	pagt
cozy	hyggelig
creative	kreativ
credence	tiltro
credible	troværdig
crisp	sprød
crisper	skarpere
cure	helbrede
cure-all	helbrede-all
cushy	loppetjans
cute	nuttet
cuteness	nuttethed
danke	danke
danken	danken
daring	vovemod
daringly	modigt
darling	skat
dashing	flot
dauntless	uforfærdede
dawn	daggry
dazzle	blænde
dazzled	blændet
dazzling	blændende
dead-cheap	dead-billige
decency	anstændighed
decent	anstændig
decisive	afgørende
decisiveness	beslutsomhed
dedicated	dedikeret
defeat	nederlag
defeated	besejret
defeating	besejre
defeats	nederlag
defender	forsvarer
deference	respekt
deft	behændig
delectable	liflig
delicacy	delikatesse
delicate	delikat
delicious	lækker
delight	glæde
delighted	glad
delightful	dejlig
delightfully	dejligt
dependable	pålidelig
dependably	pålideligt
deservedly	fortjent
deserving	fortjener
desirable	ønskelig
desiring	ønsker
destiny	skæbne
detachable	aftagelig
devout	fromme
dexterous	behændig
dexterously	behændigt
dignified	værdig
dignify	hædre
dignity	værdighed
diligent	flittig
diligently	flittigt
diplomatic	diplomatisk
distinction	forskel
distinctive	karakteristisk
distinguished	skelnes
diversified	diversificeret
divine	guddommelig
divinely	guddommeligt
dominate	dominere
dominated	domineret
dominates	dominerer
dote	tilbede
dreamland	drømmeland
dumbfounded	lamslået
dummy-proof	dummy-bevis
durable	holdbar
dynamic	dynamisk
eager	ivrige
eagerly	ivrigt
eagerness	iver
earnest	alvor
earnestly	inderligt
earnestness	alvor
ease	lethed
eased	lempet
eases	lettes
easier	nemmere
easiest	nemmeste
easiness	lethed
easing	lempelse
easy	let
ebullient	sprudlende
economical	økonomisk
ecstasies	ekstaser
ecstatic	ekstatisk
ecstatically	ekstatisk
edify	opbygger
educated	uddannet
effective	effektiv
effectively	effektivt
effectiveness	effektivitet
effectual	virkningsfulde
efficacious	virkningsfuldt
efficient	effektiv
efficiently	effektivt
effortless	nemt
effortlessly	ubesværet
effusive	overstrømmende
effusively	overstrømmende
elated	opstemt
elation	opstemthed
electrify	elektrificere
elegantly	elegant
elevate	ophøje
eloquence	veltalenhed
eloquent	veltalende
eloquently	veltalende
eminent	fremtrædende
empathize	empati
empathy	empati
empower	bemyndige
enchant	fortrylle
enchanted	fortryllet
enchanting	fortryllende
enchantingly	fortryllende
encourage	tilskynde
encouragement	opmuntring
encouraging	opmuntrende
encouragingly	opmuntrende
endearing	indtagende
endorse	godkende
endorsed	godkendt
endorsement	godkendelse
endorses	tilslutter
endorsing	godkende
energetic	energisk
energy-efficient	energieffektiv
energy-saving	energibesparende
engaging	engagerende
engrossing	medrivende
enhance	forbedre
enhanced	forbedret
enhances	forbedrer
enjoyable	fornøjelig
enjoyably	fornøje
enjoyed	nydt
enjoying	nyder
enjoyment	nydelse
enjoys	nyder
enlighten	oplyse
enlightenment	oplysning
enliven	oplive
ennoble	forædle
enough	nok
enrapture	henrykke
enraptured	henrykte
enrich	berige
enrichment	berigelse
enterprising	initiativrige
entertain	underholde
entertaining	underholdende
entertains	underholder
enthral	begejstre
enthrall	begejstre
enthralled	betaget
enthuse	begejstre
enthusiasm	entusiasme
enthusiast	entusiast
enthusiastic	entusiastisk
enthusiastically	entusiastisk
entice	lokke
enticed	lokket
enticing	lokkende
entranced	henrykte
entrancing	fortryllende
entrust	overdrage
enviable	misundelsesværdig
enviably	misundelsesværdigt
envious	misundelig
enviously	misundeligt
envy	misundelse
equitable	retfærdig
ergonomical	ergonomisk
erudite	lærd
ethical	etisk
eulogize	lovprise
euphoria	eufori
euphoric	euforisk
euphorically	euforisk
evaluative	evaluerende
evenly	jævnt
eventful	begivenhedsrig
everlasting	evig
evocative	stemningsfulde
exalt	ophøje
exaltation	ophøjelse
exalted	ophøjet
exalting	ophøjende
exceed	overstige
exceeded	overskredet
exceeding	overstiger
exceedingly	overordentlig
exceeds	overstiger
excel	excel
excellant	atmosphere
excellence	ekspertise
excellency	excellence
excellent	fremragende
excellently	glimrende
excels	brillerer
exceptional	enestående
exceptionally	usædvanligt
excite	ophidse
excited	begejstret
excitedly	ophidset
excitement	spænding
excites	ophidser
exciting	spændende
exemplary	eksemplarisk
exhilarating	spændende
exhilaration	opstemthed
exonerate	frikende
expansive	ekspansiv
expeditiously	hurtigt
expertly	mesterligt
exquisite	udsøgt
exquisitely	udsøgt
extol	berømme
extraordinarily	ekstraordinært
extraordinary	ekstraordinær
exuberance	overflod
exuberant	overstrømmende
exuberantly	overstrømmende
exult	juble
exultant	jublende
exultation	jubel
eye-catch	eye-fangst
eye-catching	iøjnefaldende
eyecatching	iøjnefaldende
fabulous	fabelagtig
fabulously	fabelagtigt
facilitate	lette
fair	retfærdig
fairly	temmelig
faith	tro
faithful	trofast
faithfully	trofast
faithfulness	trofasthed
fame	berømmelse
famed	berømt
famous	berømt
famously	berømt
fancier	amatør
fans	ventilatorer
fantastic	fantastisk
fantastically	fantastisk
fascinate	fascinere
fascinating	spændende
fascinatingly	fascinerende
fashionably	moderigtigt
fast	hurtig
fast-paced	hurtig
faster	hurtigere
fastest	hurtigste
faultless	fejlfri
fav	functionality
favor	favorisere
favorable	gunstig
favored	foretrak
favorite	favorit
favorited	favoriseret
favour	favorisere
fearless	frygtløs
fearlessly	frygtløst
feasible	gennemførlig
feasibly	indpasses
feat	bedrift
feature-rich	feature-rige
feisty	iltre
felicitous	heldig
fertile	frodige
fervent	glødende
fervently	inderligt
fervid	brændende
fervor	iver
festive	festlig
fidelity	troskab
fiery	fyrig
fine	bøde
finely	fint
finer	finere
finest	fineste
firmer	fastere
first-in-class	første-in-class
flashy	prangende
flatter	smigre
flattering	flatterende
flawless	fejlfri
flawlessly	fejlfrit
flexibility	fleksibilitet
flexible	fleksibel
flourish	blomstre
flourishing	blomstrende
fluent	flydende
flutter	flagren
fondly	kærligt
fondness	forkærlighed
foolproof	idiotsikker
foremost	fremmest
foresight	fremsyn
formidable	formidabel
fortitude	fatning
fortuitous	tilfældige
fortuitously	tilfældigt
fortunate	heldig
fortunately	heldigvis
fortune	formue
fragrant	duftende
free	gratis
freed	befriet
freedom	frihed
freedoms	friheder
fresh	frisk
fresher	friskere
freshest	friskeste
friendliness	venlighed
friendly	venlige
frolic	løssluppenhed
frugal	sparsommelige
fruitful	frugtbart
fulfillment	opfyldelse
fun	sjovt
futuristic	futuristisk
gaiety	munterhed
gaily	muntert
gain	gevinst
gained	vundet
gainful	lønnet
gainfully	lønnet
gaining	vinder
gains	gevinster
gallant	galant
gallantly	galant
galore	massevis
geeky	nørdet
gem	perle
gems	perler
generosity	gavmildhed
generous	gavmild
generously	generøst
genius	geni
gentle	mild
gentlest	blideste
genuine	ægte
gifted	begavede
gladden	gladden
gladly	gladeligt
gladness	glæde
glamorous	glamourøse
glee	skadefryd
gleeful	skadefro
gleefully	triumferende
glimmer	glimt
glimmering	glimtende
glisten	skinne
glistening	glinsende
glorify	forherlige
glorious	herlige
gloriously	herligt
glory	ære
glow	glød
glowing	glødende
glowingly	glødende
god-given	gudgivne
god-send	gud-sende
godsend	gave
gold	guld
golden	gylden
good	godt
goodly	prægtigt
goodness	godhed
gorgeous	smukke
gorgeously	smukt
grace	nåde
graceful	yndefuld
gracefully	yndefuldt
gracious	nådig
graciously	nådigt
graciousness	elskværdighed
grand	grand
grandeur	storhed
grateful	taknemmelig
gratefully	taknemmeligt
gratification	tilfredsstillelse
gratified	tilfredsstillet
gratifies	tilfredsstiller
gratify	tilfredsstille
gratifying	glædeligt
gratifyingly	opmuntrende
gratitude	taknemmelighed
great	store
greatest	størst
greatness	storhed
groundbreaking	banebrydende
guarantee	garanti
guidance	vejledning
guiltless	uskyldig
gumption	gåpåmod
gush	vælde
gutsy	modige
hail	hagl
halcyon	halcyon
hallmark	adelsmærke
hallmarks	kendetegnende
hallowed	hellige
handily	behændigt
handsome	smuk
handsomely	klækkeligt
handy	praktisk
happier	gladere
happily	lykkeligt
happiness	lykke
happy	lykkelig
hard-working	hårdtarbejdende
hardy	hårdfør
harmless	uskadelig
harmonious	harmonisk
harmoniously	harmonisk
harmonize	harmonisere
harmony	harmoni
headway	hovedvej
heal	hele
healthful	sunde
heartening	opmuntrende
heartfelt	inderligt
heartily	hjerteligt
heartwarming	rørende
heaven	himmel
heavenly	himmelske
helped	hjulpet
helpful	nyttig
helping	hjælpe
hero	helt
heroic	heroisk
heroically	heroisk
heroine	heltinde
holy	hellig
homage	hyldest
honest	ærlig
honesty	ærlighed
honor	Ære
honorable	hæderlig
honored	hædret
honoring	honorering
hooray	hurra
hopeful	håbefuld
hospitable	gæstfri
hot	hed
hottest	hotteste
hug	knus
humane	human
humble	ydmyg
humility	ydmyghed
humorous	humoristisk
humorously	humoristisk
humour	humor
humourous	humoristisk
ideal	ideel
idealize	idealisere
ideally	ideelt
idolize	forgude
idolized	forgudede
idyllic	idyllisk
illuminate	belyse
illuminating	lysende
illumine	oplyse
illustrious	hæderkronede
ilu	ilu
imaginative	fantasifulde
immaculate	ulastelig
immaculately	ulasteligt
immense	umådelig
impartial	upartisk
impartiality	upartiskhed
impartially	upartisk
impassioned	lidenskabelig
impeccable	upåklagelig
impeccably	upåklageligt
important	vigtig
impress	imponere
impressed	imponeret
impresses	imponerer
impressive	imponerende
impressively	imponerende
improve	forbedre
improved	forbedret
improvement	forbedring
improvements	forbedringer
improves	forbedrer
improving	forbedring
incredible	utrolig
incredibly	utroligt
indebted	forgældede
individualized	individualiseret
indulgence	overbærenhed
indulgent	overbærende
industrious	flittig
inestimable	uvurderlig
inestimably	uvurderligt
inexpensive	billig
infallibility	ufejlbarlighed
infallible	ufejlbarlig
infallibly	ufejlbarligt
influential	indflydelsesrig
ingenious	genial
ingeniously	sindrigt
ingenuity	opfindsomhed
ingenuous	troskyldig
ingenuously	uskyldigt
innocuous	harmløs
innovative	innovativ
insightful	indsigtsfuld
insightfully	indsigtsfuldt
inspirational	inspirerende
inspire	inspirere
inspiring	inspirerende
instantly	øjeblikkeligt
instructive	lærerigt
instrumental	medvirkende
integral	integreret
integrated	integreret
intelligence	intelligens
intelligible	forståelig
interesting	interessant
interests	interesser
intimacy	intimitet
intimate	intim
intricate	indviklet
intrigue	intrige
intriguing	spændende
intuitive	intuitiv
invaluable	uvurderlig
inventive	opfindsomme
invigorating	styrkende
invincibility	uovervindelighed
invincible	uovervindelig
inviolable	ukrænkelig
inviolate	ukrænkelige
invulnerable	usårlig
irreplaceable	uerstattelige
irreproachable	uangribelig
irresistible	uimodståelig
irresistibly	uimodståeligt
issue-free	problem-fri
jaw-droping	kæbe-droping
jaw-dropping	sensationel
joy	glæde
joyful	glad
joyfully	glæde
joyous	glad
jubilant	jublende
jubilantly	jublende
jubilate	jubilate
jubilation	jubel
judicious	velovervejet
justly	retfærdigt
keen	opsat
keenly	opmærksomt
keenness	uroligt
kid-friendly	børnevenlige
kindliness	venlighed
kindly	venligt
kindness	venlighed
knowledgeable	vidende
laud	prise
laudable	prisværdigt
laudably	prisværdigt
lavish	overdådige
lavishly	overdådigt
law-abiding	lovlydige
lawful	lovlig
lawfully	lovligt
leading	førende
leads	kundeemner
lean	læne
legendary	legendariske
leverage	gearing
levity	letsindighed
liberate	befri
liberation	befrielse
liberty	frihed
lifesaver	livredder
light-hearted	munter
likable	vellidte
liking	smag
lionhearted	lionhearted
lively	livlig
logical	logisk
long-lasting	langvarig
lovable	elskelig
love	elsker
loved	elskede
loveliness	skønhed
lovely	dejlig
lover	elsker
loves	elsker
loving	kærlig
low-cost	lavpris
lower-priced	lavere-priced
loyalty	loyalitet
lucid	klar
lucidly	anskueligt
luck	held
luckier	heldigere
luckiest	heldigste
lucky	heldig
lucrative	lukrativ
luminous	lysende
lush	frodig
luster	glans
lustrous	skinnende
luxuriant	frodig
luxuriate	svælge
luxurious	luksuriøs
luxuriously	luksuriøst
luxury	luksus
lyrical	lyriske
magic	magi
magical	magiske
magnanimous	storsindet
magnanimously	høimodigen
magnificence	pragt
magnificent	storslået
magnificently	storslået
majestic	majestætisk
majesty	majestæt
manageable	håndterbar
maneuverable	manøvredygtig
marvel	vidunder
marveled	undrede
marvelled	undrede
marvellous	vidunderlig
marvelous	vidunderlig
marvelously	vidunderligt
marvels	vidundere
master	mestre
masterful	mesterlige
masterfully	mesterligt
masterpiece	mesterværk
masterpieces	mesterværker
masters	mestre
mastery	beherskelse
matchless	mageløs
mature	moden
maturely	modent
maturity	modenhed
meaningful	meningsfuld
memorable	mindeværdige
merciful	barmhjertig
mercifully	nådigt
mercy	barmhjertighed
merit	fortjeneste
meritorious	fortjenstfulde
merrily	lystigt
merriment	lystighed
merry	lystig
mesmerize	tryllebinde
mesmerized	tryllebundet
mesmerizing	hypnotiserende
meticulous	omhyggelig
meticulously	omhyggeligt
mightily	bravt
mighty	mægtig
miracle	mirakel
miracles	mirakler
miraculous	mirakuløs
miraculously	mirakuløst
modern	moderne
modest	beskedne
modesty	beskedenhed
momentous	betydningsfuld
monumental	monumentale
monumentally	monumentalt
morality	moral
motivated	motiveret
navigable	sejlbar
neat	pæn
neatest	sobre
neatly	pænt
nice	pæn
nicely	pænt
nicer	pænere
nicest	pæneste
nifty	fiks
nimble	adræt
noble	adelig
nobly	ædelt
noiseless	lydløs
non-violence	ikke-vold
non-violent	ikke-voldelig
notably	især
noteworthy	bemærkelsesværdigt
nourish	nære
nourishing	nærende
nourishment	næring
novelty	nyhed
nurturing	pleje
oasis	oase
obsession	besættelse
obsessions	tvangstanker
obtainable	opnåelig
openly	åbent
openness	åbenhed
optimism	optimisme
optimistic	optimistisk
orderly	velordnet
originality	originalitet
outdo	overgå
outdone	overgået
outperform	udkonkurrerer
outperformed	udkonkurrerede
outperforms	udkonkurrerer
outshine	overstråle
outshone	overskygget
outsmart	snyde
outstanding	fremragende
outstandingly	fremragende
outstrip	distancere
outwit	overliste
overjoyed	himmelhenrykt
overtake	overhale
overtaken	overhalet
overtakes	overhaler
overtaking	overhaling
overtook	overhalede
overture	ouverture
pain-free	smerte-fri
painless	smertefri
painlessly	smertefrit
palatial	statelige
pamper	forkæle
pampered	forkælet
panoramic	panoramisk
paradise	paradis
paramount	altoverskyggende
passion	lidenskab
passionate	lidenskabelig
passionately	lidenskabeligt
patience	tålmodighed
patiently	tålmodigt
patriotic	patriotisk
peace	fred
peaceable	fredelige
peaceful	fredelig
peacefully	fredeligt
peacekeepers	fredsbevarere
peach	fersken
perfect	perfekt
perfection	fuldkommenhed
perfectly	perfekt
permissible	tilladelig
perseverance	udholdenhed
personages	personager
personalized	personlig
phenomenal	fænomenal
phenomenally	fænomenalt
picturesque	maleriske
piety	fromhed
pinnacle	tinde
playful	legende
playfully	legende
pleasant	behagelig
pleasantly	glædeligt
pleased	tilfreds
pleases	behager
pleasing	behagelig
pleasingly	glædelig
pleasurable	lystbetonet
pleasurably	nydende
pleasure	fornøjelse
plentiful	rigelig
pluses	plusser
plush	plys
plusses	plustegn
poetic	poetisk
poignant	gribende
poised	klar
polished	poleret
polite	høflig
politeness	høflighed
popular	populær
portable	transportabel
positive	positiv
positively	positivt
positives	positiver
powerful	magtfulde
powerfully	effektfuldt
praise	ros
praiseworthy	rosværdigt
praising	rose
pre-eminent	fremtrædende
precious	kostbar
precise	præcis
precisely	præcist
preeminent	fremtrædende
prefer	foretrække
preferable	foretrækkes
preferably	helst
prefered	foretrak
preferring	foretrækker
prefers	foretrækker
prestigious	prestigefyldte
prettily	nydeligt
pretty	smuk
priceless	uvurderlig
pride	stolthed
principled	principfast
privilege	privilegium
privileged	privilegeret
prize	præmie
proactive	proaktiv
problem-free	problemfri
prodigious	uhyre
prodigiously	uhyre
prodigy	vidunderbarn
productive	produktiv
productively	produktivt
proficient	dygtig
proficiently	dygtig
profound	dybtgående
profoundly	dybt
profuse	rigelig
profusion	overflod
progress	fremskridt
progressive	progressiv
prolific	frodig
prominence	fremtrædende
prominent	fremtrædende
promise	løfte
promised	lovede
promises	løfter
promising	lovende
promoter	promotor
prompt	hurtig
promptly	omgående
proper	passende
properly	korrekt
propitious	gunstigt
pros	proffer
prosper	trives
prosperity	velstand
prosperous	blomstrende
protect	beskytte
protection	beskyttelse
protective	beskyttende
proud	stolt
proven	bevist
proves	beviser
providence	forsyn
proving	bevise
prowess	dygtighed
prudence	forsigtighed
prudent	forsigtig
prudently	forsigtighed
punctual	punktlig
pure	ren
purify	rense
purposeful	målbevidst
quaint	maleriske
qualified	kvalificeret
qualify	kvalificere
quicker	hurtigere
quiet	rolige
quieter	roligere
radiance	udstråling
radiant	strålende
rapid	hurtig
rapt	åndeløs
rapture	ekstase
rapturously	henrykt
rational	rationel
razor-sharp	knivskarp
reachable	nås
readable	læselig
readily	let
ready	parat
reaffirm	bekræfte
reaffirmation	bekræftelse
realistic	realistisk
realizable	realiserbare
reasonable	rimelig
reasonably	rimelighed
reasoned	begrundet
reassurance	forsikring
reassure	berolige
receptive	modtagelig
reclaim	genvinde
recomend	anbefale
recommend	anbefale
recommendation	henstilling
recommendations	anbefalinger
recommended	anbefalede
reconcile	forene
reconciliation	forsoning
record-setting	rekord-indstilling
recover	gendanne
recovery	genopretning
rectification	berigtigelse
rectify	rette
rectifying	ensrettende
redeem	indløs
redeeming	forløsende
redemption	frelse
refine	raffinere
refined	raffineret
refinement	raffinement
reformed	reformeret
reforming	reformere
reforms	reformer
refresh	opdater
refreshed	forfrisket
refreshing	forfriskende
refund	tilbagebetale
refunded	refunderet
regard	hensyn
rejoicing	jubel
rejuvenate	forynge
rejuvenated	forynget
rejuvenating	foryngende
relaxed	afslappet
relent	formilde
reliable	pålidelig
reliably	pålideligt
relief	lettelse
remarkable	bemærkelsesværdig
remarkably	bemærkelsesværdigt
remedy	afhjælpe
remunerate	aflønne
renaissance	renæssance
renewed	fornyet
renown	berømmelse
renowned	berømt
replaceable	udskiftelige
reputable	velrenommeret
reputation	omdømme
resilient	robust
resolute	resolut
resound	genlyde
resounding	rungende
resourceful	ressourcestærke
resourcefulness	opfindsomhed
respect	respekt
respectable	respektabel
respectful	respektfuld
respectfully	respektfuldt
respite	pusterum
resplendent	strålende
responsibly	ansvarligt
responsive	lydhør
restful	rolig
restored	restaureret
restructure	omstrukturere
restructured	omstruktureret
restructuring	omstrukturering
retractable	optrækkelige
revel	svælge
revelation	åbenbaring
revere	revere
reverence	ærbødighed
reverent	ærbødig
reverently	ærbødigt
revitalize	revitalisere
revival	genoplivning
revive	genoplive
revives	genopliver
revolutionary	revolutionerende
revolutionize	revolutionere
revolutionized	revolutioneret
revolutionizes	revolutionerer
reward	belønning
rewarding	givende
rewardingly	belønner
rich	rig
richer	rigere
richly	rigt
richness	rigdom
right	højre
righteous	retfærdig
righteously	retfærdigt
righteousness	retfærdighed
rightful	retmæssige
rightfully	rettelig
rightly	rette
rightness	rigtighed
risk-free	risikofrit
rock-star	rockstjerne
rock-stars	rock-stjerner
rockstar	rockstjerne
rockstars	rockstars
romantic	romantisk
romantically	romantisk
romanticize	romantisere
roomy	rummelig
rosy	rosenrødt
safe	sikker
safely	sikkert
saint	helgen
saintliness	hellighed
saintly	hellig
salutary	gavnlig
salute	salut
satisfactorily	tilfredsstillende
satisfactory	tilfredsstillende
satisfied	tilfreds
satisfies	tilfredsstiller
satisfy	tilfredsstille
satisfying	tilfredsstillende
satisified	tilfreds
savings	opsparing
savior	frelser
savvy	kyndige
scenic	naturskøn
seamless	sømløs
seasoned	krydret
secure	sikker
securely	forsvarligt
selective	selektiv
self-determination	selvbestemmelse
self-respect	selvrespekt
self-satisfaction	selvtilfredshed
self-sufficiency	selvforsyning
self-sufficient	selvforsynende
sensational	sensationel
sensationally	sensationelt
sensations	fornemmelser
sensible	fornuftig
sensibly	fornuftigt
sensitive	følsom
serene	fredfyldte
serenity	sindsro
sexy	sexet
sharp	skarp
sharper	skarpere
sharpest	skarpeste
shimmering	flimrende
shine	skinne
shiny	skinnende
significant	væsentlig
silent	stille
simpler	enklere
simplest	enkleste
simplified	forenklet
simplifies	forenkler
simplify	forenkle
simplifying	forenkle
sincere	oprigtig
sincerely	oprigtigt
sincerity	oprigtighed
skill	dygtighed
skilled	faglært
skillful	dygtige
skillfully	dygtigt
slammin	slammin
sleek	slank
slick	glat
smarter	smartere
smartest	smarteste
smartly	smart
smile	smil
smiles	smil
smiling	smilende
smitten	slået
smooth	glat
smoother	glattere
smoothes	udglatter
smoothest	glatteste
smoothly	glat
snappy	bidsk
snazzy	smart
sociable	omgængelig
soft	blød
softer	blødere
solace	trøst
solicitous	omsorgsfuld
solicitously	omsorgsfuldt
solidarity	solidaritet
sophisticated	sofistikeret
soulful	sjælfuld
soundly	trygt
soundness	soliditet
spacious	rummelig
sparkle	glimte
sparkling	mousserende
spectacular	spektakulære
spectacularly	spektakulært
speedily	hurtigt
speedy	hurtig
spellbinding	tryllebindende
spellbindingly	bjergtagende
spellbound	tryllebundet
spirited	åndrig
spiritual	åndelig
splendid	glimrende
splendidly	glimrende
splendor	pragt
spontaneous	spontan
spotless	pletfri
sprightly	livlig
stability	stabilitet
stabilize	stabilisere
stable	stabil
stainless	rustfri
stately	statelige
statuesque	statelig
staunch	standhaftig
staunchly	standhaftigt
staunchness	standhaftighed
steadfast	standhaftige
steadfastly	standhaftigt
steadfastness	standhaftighed
steadiness	stabilitet
stellar	stjernernes
stimulate	stimulere
stimulates	stimulerer
stimulating	stimulerende
stimulative	stimulerende
straighten	glatte
straightforward	ligetil
streamlined	strømlinet
striking	slående
strikingly	påfaldende
striving	stræber
strong	stærk
stronger	stærkere
strongest	stærkeste
stunned	bedøvet
stunning	betagende
stunningly	fantastisk
stupendous	drabelig
sturdy	robust
stylish	stilfuld
stylishly	stilfuldt
stylized	stiliseret
suave	åleglat
subsidize	subsidiere
subsidized	subsidieret
subsidizes	subsidierer
subsidizing	subsidiere
substantive	materielle
