abound	abundan
easiness	facilidade
easing	aliviar
easy	fácil
easygoing	fácil
ebullience	ebulencia
ebullient	exuberante
ebulliently	excesivamente
ecenomical	ecenómico
economical	económico
ecstasies	ecstasis
ecstasy	éxtase
ecstatic	extático
ecstatically	ecstaticamente
edify	edificar
educated	educado
effective	eficaz
effectively	efectivamente
effectiveness	efectividade
effectual	efectivo
efficacious	eficaz
efficient	eficiente
effusion	efusión
effusive	efusivo
effusively	efusivamente
effusiveness	effusiveness
elan	elan
elate	elate
elated	elated
elatedly	elatedly
elation	elación
electrify	electrificar
elegance	elegancia
elegant	elegante
elegantly	elegante
elevate	elevar
elite	elite
eloquence	elocuencia
eloquent	elocuente
embolden	embolden
eminence	eminencia
eminent	eminente
empathize	empatizar
empathy	empatía
empower	habilitar
empowerment	empoderamento
enchant	encantar
enchanted	encantada
enchanting	encantador
enchantingly	encantadoramente
encourage	animar
encouragement	alento
encouraging	alentador
encouragingly	alentadoramente
endear	endear
endearing	entrañable
endorse	apoiar
endorsed	aprobado
endorsement	endosso
endorses	apoia
endorsing	apoiando
energetic	enérxico
energize	energizar
engaging	enganándose
engrossing	engrossing
enhance	mellorar
enhanced	mellorado
enhancement	mellora
enhances	mellora
enjoy	gozar
enjoyable	agradable
enjoyably	agradablemente
enjoyed	gozado
enjoying	gozando
enjoyment	goce
enjoys	goza
enlighten	iluminar
enlightenment	iluminación
enliven	animar
ennoble	ennoble
enough	suficiente
enrapt	enraptar
enrapture	enraptura
enraptured	enraptura
enrich	enriquecer
enrichment	enriquecemento
enterprising	emprendedor
entertain	entreter
entertaining	entretido
entertains	entreter
enthral	fascinante
enthrall	fascinante
enthralled	fascinado
enthuse	entusiasmo
enthusiasm	entusiasmo
enthusiast	entusiasta
enthusiastic	entusiasmado
entice	atraer
enticed	seducido
enticing	tentador
enticingly	enticingly
entranced	entranced
entrancing	entrancing
entrust	encomendar
enviable	envexable
enviably	enviablemente
envious	envexoso
enviousness	envexa
envy	envexa
equitable	equitativo
ergonomical	ergonómico
erudite	erudito
ethical	ético
eulogize	eulogiar
euphoria	euforia
euphoric	eufórico
euphorically	eufóricamente
evaluative	evaluativo
evenly	uniformemente
eventful	asustado
everlasting	eterno
evocative	evocativo
exalt	exaltar
exaltation	exaltación
exalted	exaltado
exaltedly	exaltado
exalting	exaltación
exaltingly	exaltado
examplar	examplar
examplary	exame
excallent	excallente
exceed	exceder
exceeded	superado
exceeding	excedendo
exceedingly	excesivamente
exceeds	excede
excel	excel
exceled	Excelente
excelent	excelente
excellant	excelentes
excelled	sobresaíu
excellence	excelencia
excellency	excelencia
excellent	excelente
excellently	excelentemente
excels	sobresae
exceptional	excepcional
exceptionally	excepcionalmente
excite	excitar
excited	animado
excitedly	excitadamente
excitedness	excitación
excitement	emoción
excites	excita
exciting	apaixonante
excitingly	emocionante
exellent	exellent
exemplar	exemplar
exemplary	exemplar
exhilarate	estimular
exhilarating	emocionante
exhilaratingly	emocionante
exhilaration	exhilaration
exonerate	exonerar
expansive	expansivo
expertly	expertamente
exquisite	exquisito
exquisitely	exquisitamente
extol	exaltar
extoll	extoll
extraordinarily	extraordinariamente
extraordinary	extraordinario
exuberance	exuberancia
exuberant	exuberante
exuberantly	exuberante
exult	exultar
exultant	exultante
exultation	exultación
exultingly	exultante
eye-catching	atractivo
eyecatch	eyecatch
eyecatching	eyecatching
fabulous	fabuloso
fabulously	fabulosamente
facilitate	facilitar
fair	feria
fairly	bastante
fairness	equidade
faith	fe
faithful	fiel
faithfully	fielmente
faithfulness	fidelidade
fame	fama
famed	famoso
famous	famoso
famously	famoso
fancier	fancier
fancinating	fancinating
fancy	fantasía
fanfare	fanfarria
fans	fans
fantastic	fantástico
fantastically	fantásticamente
fascinate	fascinar
fascinating	fascinante
fascinatingly	fascinante
fascination	fascinación
fast	rápido
fast-paced	rápido
faultless	impecable
fav	fav
fave	fave
favor	favor
favorable	favorable
favored	favorecido
favorite	favorito
favorited	favorito
favour	favor
fearless	intrépido
feasible	factible
feasibly	factiblemente
feat	fazaña
fecilitous	fecilito
feisty	feisty
felicitate	felicitar
felicitous	felicitoso
felicity	felicidade
fertile	fértil
fervent	ferviente
fervently	fervorosamente
fervid	fervido
fervidly	fervidamente
fervor	fervor
festive	festivo
fidelity	fidelidade
fiery	ardente
fine	ben
finely	finamente
finest	mellor
flashy	brillo
flattering	lisonjeiro
flatteringly	lisonjemente
flawlessly	impecablemente
flexibility	flexibilidade
flexible	flexible
flourish	florecer
flourishing	floreciente
fluent	fluído
flutter	flutter
fond	afeccionado
fondness	cariño
foolproof	infalible
foresight	previsión
formidable	formidable
fortitude	fortaleza
fortunate	afortunado
fortunately	afortunadamente
fortune	fortuna
fragrant	perfumado
free	libre
freed	liberado
freedom	liberdade
freedoms	liberdades
fresh	fresco
friendliness	simpatía
friendly	amigable
frolic	parvo
frugal	frugal
fruitful	fecundo
ftw	ftw
fulfillment	cumprimento
fun	divertido
futurestic	futurista
futuristic	futurista
gaiety	alegría
gaily	alegremente
gain	ganancia
gained	gañou
gainful	remunerado
gaining	gañando
gains	ganancias
gallant	galante
gallantly	galantemente
galore	galore
geekier	geekier
geeky	geeky
gem	xoia
gems	xemas
generosity	xenerosidade
generous	xeneroso
generously	xenerosamente
genial	xenial
genius	xenio
gentle	amable
genuine	auténtico
gifted	dotados
glad	contento
gladden	alegre
gladness	alegría
glamorous	glamourosa
glee	alegre
gleeful	alegre
gleefully	alegremente
glimmer	brillo
glimmering	brillantes
glisten	glisten
glistening	brillo
glitter	brillo
glitz	glitz
glorify	glorificar
glorious	glorioso
gloriously	gloriosa
glory	gloria
glow	brillo
glowing	brillando
glowingly	brillo
godlike	Deus
godsend	godsend
gold	ouro
golden	dourado
good	bo
goodly	ben
goodness	bondade
goood	goood
gooood	gooood
gorgeous	precioso
gorgeously	fermoso
grace	graza
graceful	gracioso
gracefully	graciosamente
gracious	gracioso
graciously	graciosamente
graciousness	graza
grand	grandioso
grandeur	grandeza
grateful	agradecido
gratefully	agradecido
gratification	gratificação
gratified	satisfeito
gratifies	gratifica
gratify	gratificar
gratifying	gratificante
gratifyingly	gratificadamente
gratitude	gratitude
great	xenial
greatest	maior
greatness	grandeza
grin	sorriso
groundbreaking	innovador
guarantee	garantía
guidance	orientación
gumption	goma
gush	guspa
gusto	gusto
gutsy	gutsy
hail	saraiba
halcyon	halcyon
hale	Hale
hallmark	sello
hallmarks	marcadores
hallowed	santificado
handsome	fermoso
handsomely	xenerosamente
handy	práctico
happily	felizmente
happiness	felicidade
happy	feliz
hardy	resistente
harmless	inocuo
harmonious	harmonioso
harmoniously	harmoniosamente
harmonize	harmonizar
harmony	harmonía
headway	avanza
heal	curar
healthful	saludable
healthy	saudable
hearten	corazón
heartening	animando
heartfelt	sincero
heartwarming	ardente
heaven	ceo
heavenly	celestial
helped	axudou
helpful	útil
helping	axudando
hero	heroe
heroic	heroica
heroically	heroicamente
heroine	heroína
heroize	heroizar
heros	heros
hilarious	hilarante
holy	santo
homage	homenaxe
honest	honesto
honesty	honestidade
honor	honor
honorable	honorable
honored	honrado
honoring	honrar
hooray	hooray
hopeful	esperanzador
hospitable	hospitalario
hot	quente
hotcake	panquequeiro
hotcakes	panqueiques
hug	abrazo
humane	humano
humble	humilde
humility	humildad
humor	humor
humorous	humorístico
humour	humor
humourous	chistoso
ideal	ideal
idealize	idealizar
ideally	idealmente
idol	ídolo
idolize	idolatrar
idolized	idolatrado
idyllic	idílico
illuminate	iluminar
illuminati	iluminados
illuminating	iluminando
illumine	ilumine
illustrious	ilustre
ilu	ilu
imaculate	imacular
imaginative	imaginativo
immaculate	impecable
immaculately	inmaculadamente
immense	inmenso
impartial	imparcial
impartiality	imparcialidade
impartially	imparcialmente
impassioned	apasionado
impeccable	impecable
impeccably	impecablemente
important	importante
impress	impresionar
impressed	impresionado
impresses	impresiona
impressive	impresionante
impressively	impresionantes
impressiveness	Impresionismo
improve	mellorar
improved	mellorado
improvement	mellora
improvements	melloras
improves	mellora
improving	mellorando
incredible	incrible
incredibly	increíblemente
individualized	individualizado
indulgence	indulxencia
indulgent	indulgente
industrious	traballador
inestimable	inestimable
inestimably	inestimable
inexpensive	barato
infallibility	infalibilidade
infallible	infalible
infallibly	infaliblemente
influential	influente
ingenious	enxeñoso
ingeniously	ingeniosamente
ingenuity	enxeño
ingenuous	ingenuo
ingenuously	ingenuamente
innocuous	inocuo
innovation	innovación
innovative	innovador
inpressed	presionado
insightful	perspicaz
insightfully	insightfully
inspiration	inspiración
inspirational	inspirador
inspire	inspirar
inspiring	inspirador
instructive	instructivo
instrumental	instrumental
integral	integral
integrated	integrado
intelligence	intelixencia
intelligent	intelixente
intelligible	inteligible
interesting	interesante
interests	intereses
intimacy	intimidade
intimate	íntimo
intricate	intrincado
intrigue	intriga
intriguing	intrigante
intriguingly	intrigante
intuitive	intuitivo
invaluable	inestimable
invaluablely	invaluablemente
inventive	inventivo
invigorate	dinamizar
invigorating	revigorante
invincibility	invincibilidade
invincible	invencible
inviolable	inviolable
inviolate	inviolada
invulnerable	invulnerable
irreplaceable	irreemplazable
irreproachable	irreprochable
irresistible	irresistible
irresistibly	irresistiblemente
jollify	jollify
jolly	alegre
jovial	jovial
joy	alegría
joyful	alegre
joyfully	alegremente
joyous	alegre
joyously	alegremente
jubilant	jubilante
jubilantly	jubilosa
jubilate	xubilar
jubilation	xubilación
jubiliant	xubilante
judicious	prudente
justly	xustamente
keen	afiado
keenly	afablemente
keenness	agudeza
kindliness	bondade
kindly	xentilmente
kindness	bondade
knowledgeable	coñecedor
kudos	felicidades
laud	laud
laudable	loable
laudably	laudablemente
lavish	pródigo
lavishly	abundante
lawful	legal
lawfully	legalmente
lead	conducir
leading	líder
leads	conduce
lean	magra
led	LED
legendary	lendario
leverage	alavancagem
levity	liquidez
liberate	liberar
liberation	liberación
liberty	liberdade
lifesaver	salvavidas
light-hearted	alegre
likable	gustábel
like	como
liked	gustou
likes	gústalle
liking	gusto
lionhearted	lionhearted
lively	animado
logical	lóxico
long-lasting	duradeiro
lovable	amable
lovably	amable
love	amor
loved	amada
loveliness	beleza
lovely	precioso
lover	amante
loves	ama
loving	cariñoso
loyal	leal
loyalty	lealdade
lucid	lúcido
lucidly	lucidamente
luck	sorte
luckiness	sorte
lucky	sorte
lucrative	lucrativo
luminous	luminoso
lush	exuberante
luster	brillo
lustrous	lustroso
luxuriant	exuberante
luxuriate	luxuriate
luxurious	luxoso
luxury	luxo
lyrical	lírica
magic	maxia
magical	máxico
magnanimous	magnánimo
magnanimously	magnanimamente
magnificence	magnificencia
magnificent	magnífico
magnificently	magníficamente
majestic	majestuoso
majesty	majestad
manageable	manexable
maneuverable	maniobrable
marvel	marabilla
marveled	marabillado
marvelled	marabillado
marvellous	marabilloso
marvelous	marabilloso
marvelously	marabillosas
marvelousness	marabilloso
marvels	marabillas
master	amo
masterful	magistral
masterfully	magistralmente
masters	mestres
mastery	dominio
matchless	inigualable
mature	maduro
maturely	maduro
maturity	madurez
meaningful	significativo
memorable	memorable
merciful	misericordioso
mercifully	mercé
mercy	misericordia
merit	mérito
meritorious	meritorio
merrily	felices
merriment	alegría
merriness	merriness
merry	alegre
mesmerize	hipnotizar
mesmerized	hipnotizado
mesmerizes	hipnotiza
mesmerizing	fascinante
mesmerizingly	fascinante
meticulous	meticuloso
meticulously	meticulosamente
mightily	poderosamente
mighty	poderoso
mind-blowing	Alucinante
miracle	milagre
miracles	milagres
miraculous	milagroso
miraculously	milagrosamente
miraculousness	milagre
modern	moderno
modest	modesto
modesty	modestia
momentous	momentoso
monumental	monumental
monumentally	monumentalmente
morality	moralidade
motivated	motivado
multi-purpose	multiusos
navigable	navegable
neat	puro
neatly	perfectamente
nice	bonito
nicely	ben
nicer	mellor
nicest	mellor
nifty	nifty
nimble	áxil
noble	nobre
nobly	nobre
notably	notablemente
nourish	nutrir
nourishing	nutritivo
nourishment	alimento
novelty	novidade
nurturing	cariño
oasis	oasis
obsession	obsesión
obsessions	obsesións
obtainable	obtido
openly	abertamente
openness	apertura
optimal	óptimo
optimism	optimismo
optimistic	optimista
opulent	opulento
orderly	ordenada
originality	orixinalidade
outdo	outdo
outdone	outdone
outperform	superan
outperformed	superado
outperforming	superando
outperforms	supera
outshine	outshine
outshone	outshone
outsmart	superar
outstanding	destacado
outstandingly	notablemente
outstrip	superar
outwit	enganar
ovation	ovación
overjoyed	alegre
overtake	superar
overtaken	superado
overtakes	avanza
overtaking	avanzar
overtook	adiantou
overture	obertura
painless	indolora
palatial	palaciano
pamper	pamper
pampered	mimado
pamperedly	mimado
pamperedness	pamperedness
pampers	pampers
panoramic	panorámica
paradise	paraíso
paramount	primordial
pardon	perdón
passion	paixón
passionate	apaixonado
passionately	apaixonadamente
patience	paciencia
patient	paciente
patriot	patriota
patriotic	patriótico
peace	paz
peaceable	pacífica
peaceful	pacífico
peacekeepers	pacificadores
peach	melocotón
pep	pep
pepped	pepped
pepping	pepping
peppy	peppy
peps	peps
perfect	perfecto
perfection	perfección
perfectly	perfectamente
permissible	admisible
perseverance	perseveranza
persevere	perseverar
personages	personaxes
personalized	personalizado
phenomenal	fenomenal
phenomenally	fenomenalmente
picturesque	pintoresco
piety	piedade
pinnacle	pináculo
playful	juguetón
playfully	alegremente
pleasant	agradable
pleasantly	agradablemente
pleased	satisfeito
pleases	agrada
pleasing	agradable
pleasurable	placentero
pleasure	pracer
plentiful	abundante
pluses	vantaxes
plush	felpa
plusses	golpe
poetic	poético
poeticize	poetizar
poignant	poignante
poise	poise
poised	preparado
polished	pulido
polite	educado
politeness	cortesía
popular	popular
portable	portátil
posh	posh
positive	positivo
positives	positivos
powerful	poderoso
powerfully	poderosamente
praise	loanza
praiseworthy	louvável
praising	alabando
pre-eminent	preeminente
precious	precioso
precise	preciso
precisely	precisamente
preeminent	preeminente
prefer	prefire
preferable	preferible
preferably	preferiblemente
prefered	preferido
preferes	prefire
preferring	preferindo
prefers	prefire
premier	premier
prestige	prestixio
prestigious	prestixio
prettily	preciosa
pretty	bonita
priceless	inestimable
pride	orgullo
principled	principios
privilege	privilexio
privileged	privilexiado
prize	premio
proactive	proactivo
prodigious	prodixioso
prodigiously	prodixioso
prodigy	prodixio
productive	produtivo
productively	produtivamente
proficient	proficiente
profound	profundo
profoundly	profundamente
profuse	profundo
profusion	profusión
progress	progreso
progressive	progresivo
prolific	prolífico
prominence	prominencia
prominent	prominente
promise	promesa
promised	prometeu
promises	promete
promising	prometedor
promoter	promotor
prompt	prompt
promptly	inmediatamente
proper	bo
properly	correctamente
propitious	propicio
pros	pros
prosper	prosperar
prosperity	prosperidade
prosperous	próspero
prospros	prospros
protect	protexer
protection	protección
protective	protectora
proud	orgulloso
proven	comprobada
proves	proba
providence	providencia
proving	probando
prowess	proeza
prudence	prudencia
prudent	prudente
punctual	puntual
pure	puro
purify	purificar
purposeful	intencionado
quaint	pintoresco
qualified	cualificado
qualify	calificar
quiet	tranquila
radiance	brillo
radiant	radiante
rapid	rápido
rapport	informe
rapt	rapt
rapture	rapto
raptureous	raptos
raptureously	raptureously
rapturous	rapto
rapturously	rapturously
rational	racional
razor-sharp	afiado
reachable	accesible
readable	lexible
readily	facilmente
ready	listo
reaffirm	reafirmar
reaffirmation	reafirmación
realistic	realista
realizable	realizable
reasonable	razoable
reasonably	razonablemente
reasoned	razoado
reassurance	tranquilidade
reassure	tranquilizar
receptive	receptivo
reclaim	recuperar
recomend	recomend
recommend	recomendar
recommendation	recomendación
recommendations	recomendacións
recommended	recomendado
reconcile	reconciliar
reconciliation	reconciliación
recover	recuperar
recovery	recuperación
rectification	rectificación
rectify	rectificar
rectifying	rectificación
redeem	canjear
redeeming	rescatando
redemption	redención
refine	refinar
refined	refinado
refinement	refinamento
reform	reforma
reformed	reformado
reforming	reformar
reforms	reformas
refresh	actualizar
refreshed	actualizado
refreshing	refrescante
refund	reembolso
refunded	reembolsado
regal	regal
regally	regalmente
regard	respecto
rejoice	Alegre
rejoicing	alegrándose
rejoicingly	alegremente
rejuvenate	rexuvenecer
rejuvenated	rexuvenecido
rejuvenating	rexuvenecemento
relaxed	relaxado
relent	relent
reliable	fiable
relief	alivio
relish	saborear
remarkable	notable
remarkably	notablemente
remedy	remedio
remission	remisión
remunerate	remunerar
renaissance	Renacemento
renewed	renovado
renown	renombre
renowned	renombrado
replaceable	reemplazable
reputable	respectable
reputation	reputación
resilient	resistente
resolute	resoluto
resound	resonar
resounding	resonante
resourcefulness	enxeño
respect	respecto
respectable	respectable
respectful	respetuoso
respite	descanso
resplendent	resplandeciente
responsibly	responsablemente
responsive	sensible
restful	tranquilo
restored	restaurado
restructure	reestruturar
restructured	reestructurado
restructuring	reestruturación
retractable	retráctil
revel	revelar
revelation	revelación
revere	revere
reverence	reverencia
reverent	reverente
reverently	reverentemente
revitalize	revitalizar
revival	renacemento
revive	revivir
revives	revive
revolutionary	revolucionaria
revolutionize	revolucionar
revolutionized	revolucionou
revolutionizes	revoluciona
reward	recompensa
rewarding	gratificante
rewardingly	gratificante
rich	rico
richly	ricamente
richness	riqueza
right	ben
righten	dereito
righteous	xusto
righteously	xustamente
righteousness	xustiza
rightful	legítimo
rightness	rectitude
robust	robusto
rockstar	rockstar
rockstars	rockstars
romantic	romántico
romantically	románticamente
romanticize	romanticizar
roomy	espazos
rosy	rosado
safe	seguro
sagacity	sagacidade
sagely	sagamente
saint	santo
saintliness	santidade
saintly	santo
salutary	saludable
salute	saúde
sane	ben
satisfactorily	satisfactoriamente
satisfactory	satisfactorio
satisfied	satisfeito
satisfies	satisfai
satisfy	satisfacer
satisfying	satisfacer
satisified	Satisfeito
saver	aforro
savings	aforro
savior	salvador
savvy	intelixente
scenic	escénico
seamless	inconsútil
seasoned	temperado
secure	seguro
selective	selectivo
self-determination	autodeterminación
self-respect	auto-respecto
self-satisfaction	auto-satisfacción
self-sufficiency	autosuficiencia
self-sufficient	autosuficiente
sensation	sensación
sensational	sensacional
sensationally	sensacionalmente
sensations	sensacións
sensible	sensible
sensibly	sensiblemente
sensitive	sensible
serene	sereno
serenity	serenidade
sexy	sexy
sharp	agudo
shimmering	brillo
shimmeringly	brillo
shine	brillo
shiny	brillante
significant	significativo
silent	silencioso
simplified	simplificado
simplifies	simplifica
simplify	simplificar
simplifying	simplificando
sincere	sincero
sincerely	sinceramente
sincerity	sinceridade
skill	habilidade
skilled	expertos
skillful	hábil
skillfully	habilmente
slammin	slammin
sleek	elegante
slick	lixeira
smart	intelixente
smartly	intelixente
smile	sorriso
smiles	sorrisos
smiling	sorrindo
smilingly	sonriente
smitten	ferido
smooth	suave
smoothes	suaviza
snappy	arrebatado
snazzy	snazzy
sociable	sociable
soft	suave
solace	consuelo
solicitous	solicitante
solicitously	solicitadamente
solid	sólido
solidarity	solidariedade
soothe	calmar
soothingly	tranquilamente
sophisticated	sofisticado
soulful	alma
soundly	profundamente
soundness	solidez
spacious	espazos
sparkle	brillo
sparkling	espumante
spectacular	espectacular
spectacularly	espectacularmente
speedily	rapidamente
speedy	rápido
spellbind	valentão
spellbinding	fascinante
spellbindingly	fascinante
spellbound	hechizado
spirited	espírito
spiritual	espiritual
splendid	espléndido
splendidly	esplendidamente
splendor	esplendor
spontaneous	espontáneo
sporty	deportivo
spotless	impecable
stability	estabilidade
stabilize	estabilizar
stable	estable
stainless	inoxidable
standout	destacar
state-of-the-art	estado-da-arte
stately	señorial
statuesque	estatuasco
staunch	firme
staunchly	agresivamente
staunchness	estabilidade
steadfast	firme
steadfastly	firme
steadfastness	firmeza
steadiness	firmeza
steady	constante
stellar	estelar
stellarly	estelar
stimulate	estimular
stimulates	estimula
stimulating	estimulante
stimulative	estimulante
straighten	endereitarse
straightforward	sinxelo
streamlined	racionalizado
striking	sorprendente
strikingly	sorprendentemente
striving	esforzándose
strong	forte
stunned	sorprendido
stunning	impresionante
stunningly	asombrosamente
stupendous	estupendo
stupendously	estupendo
sturdy	resistente
stylish	elegante
stylishly	elegante
stylized	estilizado
suave	suave
suavely	suavemente
sublime	sublime
subsidize	subvencionar
subsidized	subvencionado
