abound	florerer
beautify	forskjønne
beauty	skjønnhet
beckon	lokker
beckoned	vinket
beckoning	vinket
beckons	lokker
believable	troverdig
beloved	elskede
benefactor	velgjører
beneficent	velgjørende
beneficial	gunstig
beneficially	rettmessig
beneficiary	mottaker
benefit	fordel
benefits	fordeler
benevolence	velvilje
benevolent	velvillig
benifits	Fordeler
best	beste
best-selling	bestselger
better	bedre
blameless	ulastelige
bless	velsigne
blessing	velsignelse
bliss	lykksalighet
blissful	lykkelig
blissfully	salig
bloom	blomst
blossom	blomstre
bolster	styrke
bonuses	bonuser
boost	øke
boundless	grenseløs
brainiest	smarteste
brave	modig
bravery	tapperhet
breakthrough	gjennombrudd
breakthroughs	gjennombrudd
breathlessness	tungpustethet
breathtaking	fantastisk
breathtakingly	forbløffende
breeze	bris
bright	lys
brighten	lysne
brighter	lysere
brightest	este
brilliance	glans
brilliant	strålende
brilliantly	briljant
brisk	rask
brotherly	broderlig
buoyant	oppdrifts
cajole	tale
calm	rolig
calming	beroligende
calmness	ro
capability	evne
captivate	fange
captivating	fengslende
carefree	bekymringsløs
catchy	fengende
celebrate	feire
celebrated	feiret
celebration	feiring
celebratory	feirende
charisma	karisma
charismatic	karismatisk
charitable	veldedig
charm	sjarm
charming	sjarmerende
charmingly	sjarmerende
chaste	kyske
cheaper	billigere
cheapest	billigste
cheer	oppmuntre
cheerful	munter
cheery	muntre
cherish	verne
cherished	elsket
cherub	kjerub
chivalrous	ridderlig
chivalry	ridderlighet
civility	høflighet
civilize	sivilisere
clarity	klarhet
classic	klassiker
classy	stilig
clean	ren
cleaner	renere
cleanest	reneste
cleanliness	renslighet
cleanly	renslig
clear	klar
clear-cut	entydig
cleared	ryddet
clearer	klarere
clears	lakker
clever	flink
cleverly	smart
cohere	Cohere
coherence	sammenheng
coherent	sammenhengende
cohesive	sammenhengende
colorful	fargerik
comfort	komfort
comfortable	komfortabel
comfortably	komfortabelt
comforting	trøst
commend	anbefale
commendable	verdig
commitment	forpliktelse
commodious	romme
compact	kompakt
compactly	kompakt
compassion	medfølelse
compassionate	medfølende
compatible	kompatibel
competitive	konkurranse
complement	komplement
complementary	utfyllende
complemented	supplert
complements	utfyller
compliant	kompatibel
compliment	kompliment
complimentary	gratis
comprehensive	omfattende
conciliate	forsone
conciliatory	forsonlig
concise	konsis
confidence	selvtillit
confident	Selvsikker
congratulate	gratulere
congratulation	Gratulerer
congratulations	Gratulerer
congratulatory	gratulasjons
conscientious	pliktoppfyllende
considerate	hensyns
consistent	konsistent
consistently	konsekvent
constructive	konstruktiv
contentment	tilfredshet
continuity	kontinuitet
contribution	bidrag
convenience	bekvemmelighet
convenient	beleilig
conveniently	beleilig
convienient	excellent
convincing	overbevisende
convincingly	overbevisende
cool	kul
coolest	kuleste
cooperative	kooperativ
cooperatively	samvirkende
cornerstone	hjørnestein
correct	riktig
correctly	riktig
cost-effective	kostnadseffektiv
cost-saving	kostnadsbesparende
counter-attack	motangrep
counter-attacks	motangrep
courage	mot
courageous	modig
courageously	modig
courteous	høflig
covenant	pakt
cozy	koselig
creative	kreativ
credence	troverdighet
credible	troverdig
crisp	sprø
crisper	skarpere
cure	kurere
cure-all	kur-alle
cute	søt
daring	dristig
darling	elskling
dawn	soloppgang
dazzled	blendet
dazzling	blendende
dead-cheap	dead-billig
decency	anstendighet
decent	skikkelig
decisive	avgjørende
decisiveness	besluttsomhet
dedicated	dedikerte
defeat	nederlag
defeated	nedkjempet
defeating	ødeleggende
defeats	nederlag
defender	forsvarer
deference	aktelse
deft	behendig
delicacy	delikatesse
delicate	delikat
delicious	nydelig
delight	glede
delighted	glad
delightful	herlig
delightfully	herlig
dependable	pålitelig
dependably	installasjonene
deservedly	fortjent
deserving	fortjenstfull
desirable	ønskelig
desiring	ønsker
desirous	begjærlig
destiny	skjebne
detachable	avtagbar
devout	troende
dexterous	fingernem
dignified	ærverdig
dignify	verdighet
dignity	verdighet
diligence	aktsomhet
diligent	flittig
diligently	flittig
diplomatic	diplomatisk
dirt-cheap	skitt-billig
distinction	forskjell
distinctive	karakteristiske
distinguished	fornem
diversified	diversifisert
divine	guddommelig
divinely	guddommelig
dominate	dominere
dominated	dominert
dominates	dominerer
doubtless	utvilsomt
dreamland	drømmeland
dumbfounded	målløs
dumbfounding	hoderystende
durable	varig
dynamic	dynamisk
eager	ivrig
eagerly	ivrig
eagerness	iver
earnest	alvor
earnestly	alvorlig
earnestness	alvor
ease	letthet
eased	lettet
eases	letter
easier	lettere
easiest	enkleste
easing	lettelser
easy	lett
easygoing	omgjengelig
economical	økonomisk
ecstasies	ekstaser
ecstatic	ekstatisk
edify	oppbygge
educated	utdannet
effective	effektiv
effectively	effektivt
effectiveness	effektivitet
effectual	effektive
efficacious	effektive
efficient	effektiv
efficiently	effektivt
effortless	uanstrengt
effortlessly	uanstrengt
effusion	effusjon
effusive	strømmende
elated	opprømt
elatedly	opprømt
elation	spenstighet
electrify	elektrifisere
elegance	eleganse
elegantly	elegant
elevate	heve
eloquence	veltalenhet
eloquent	veltalende
eloquently	velformulert
eminence	eminense
empathize	innlevelse
empathy	empati
empower	myndiggjøre
empowerment	myndiggjøring
enchant	fortrylle
enchanted	fortryllet
enchanting	fortryllende
encourage	oppmuntre
encouragement	oppmuntring
encouraging	oppmuntrende
endearing	inntagende
endorse	påtegne
endorsed	godkjent
endorsement	påtegning
endorsing	godkjenne
energetic	energisk
energize	energi
energy-efficient	energieffektiv
energy-saving	energisparing
engaging	engasjerende
engrossing	fengslende
enhance	forbedre
enhanced	forbedret
enhancement	Forbedring
enhances	Forbedrer
enjoy	Nyt
enjoyable	hyggelig
enjoyably	morsommere
enjoyed	nøt
enjoying	Nyter
enjoyment	fornøyelse
enjoys	nyter
enlighten	opplyse
enlightenment	opplysning
ennoble	foredle
enough	nok
enrapture	henrykke
enraptured	henrykt
enrich	berike
enrichment	berikelse
enterprising	driftige
entertain	underholde
entertaining	underhold
enthral	enthrall
enthralled	fengslet
enthuse	begeistre
enthusiasm	entusiasme
enthusiast	entusiast
enthusiastic	entusiastisk
enthusiastically	entusiastisk
entice	lokke
enticed	forledet
enticing	fristende
entranced	betatt
entrancing	fengende
entrust	betro
enviable	misunnelsesverdig
enviably	misunnelsesverdig
envious	misunnelig
enviously	misunnelig
envy	misunne
equitable	rettferdig
ergonomical	ergonomisk
err-free	feile-fri
erudite	lærd
ethical	etisk
euphoria	eufori
euphoric	euforisk
evaluative	evaluerende
evenly	jevnt
eventful	begivenhetsrik
everlasting	evig
evocative	stemningsfull
exalt	opphøye
exaltation	opphøyelse
exalted	opphøyet
exalting	opphøye
examplary	eksempel
exceed	overskride
exceeded	skredet
exceeding	stiger
exceedingly	umåtelig
exceeds	stiger
excel	utmerke
excellant	fortreffelig
excellence	fortreffelighet
excellency	eksellense
excellent	utmerket
excellently	utmerket
excels	utmerker
exceptional	eksepsjonell
exceptionally	eksepsjonelt
excite	opphisse
excited	spent
excitedly	spent
excitement	begeistring
excites	begeistrer
exciting	spennende
excitingly	betrakte
exemplar	eksemplar
exemplary	eksemplarisk
exhilarate	forfriske
exhilarating	spennende
expansive	ekspansiv
expeditiously	massedrap
expertly	fagmessig
exquisite	utsøkt
exquisitely	utsøkt
extol	Extol
extraordinarily	used
extraordinary	ekstraordinær
exuberance	begeistring
exuberant	strømmende
exult	juble
exultant	jublende
exultation	jubel
exultingly	jublende
eye-catch	eye-fangst
eye-catching	iøynefallende
fabulous	fabelaktig
fair	rettferdig
fairly	ganske
fairness	rettferdighet
faith	tro
faithful	trofast
faithfully	trofast
faithfulness	trofasthet
fame	berømmelse
famed	berømt
famous	berømt
fancier	avansert
fantastic	Fantastisk
fantastically	fantastisk
fascinate	fasinere
fascinating	fascinerende
fascination	fascinasjon
fashionable	fasjonable
fast	fort
fast-paced	Fartsfylt
faster	raskere
fastest	raskeste
faultless	feilfri
favor	favorisere
favorable	gunstige
favored	favoriserte
favorite	favoritt
favorited	SykoticWolf
favour	favorisere
fearless	fryktløs
fearlessly	frykt
feasible	gjennomførbart
feat	bragd
feature-rich	funksjonsrik
feisty	sprelsk
felicitate	lykkønske
felicity	lykke
fertile	fruktbar
fervent	glødende
fervently	inderlig
fervor	inderlighet
festive	festlig
fidelity	gjengivelse
fiery	flammende
fine	fint
finely	fint
finer	finere
finest	fineste
firmer	fastere
first-class	førsteklasses
first-rate	førsteklasses
flashy	prangende
flatter	smigre
flattering	flatte
flatteringly	smigrende
flawless	feilfri
flawlessly	prikkfritt
flexibility	fleksibilitet
flexible	fleksibel
flourish	blomstre
flourishing	blomstrende
fluent	flytende
flutter	flagre
fondness	forkjærlighet
foolproof	Idiot-sikker
foremost	fremst
foresight	framsyn
fortitude	heltemot
fortuitous	tilfeldig
fortunate	heldig
fortunately	heldigvis
fortune	formue
fragrant	duftende
free	gratis
freed	frigjort
freedom	frihet
freedoms	friheter
fresh	fersk
fresher	friskere
freshest	ferskeste
friendliness	vennlighet
friendly	vennlig
frolic	munterhet
frugal	nøysom
fruitful	fruktbar
fulfillment	oppfyllelse
fun	moro
futuristic	futuristiske
gaiety	lystighet
gain	gevinst
gained	fikk
gainful	lønnet
gainfully	inntektsgivende
gaining	få
gains	gevinster
gallant	galant
gallantly	galant
galore	fleng
geeky	nerdete
gem	perle
gems	edelstener
generosity	gavmildhet
generous	sjenerøs
generously	sjenerøst
genius	geni
gentle	skånsom
gentlest	mild
genuine	ekte
gifted	begavet
gladden	Gladden
gladly	gjerne
gladness	glede
glamorous	glamorøs
glee	glede
gleefully	frydefullt
glimmering	glitrende
glisten	glinse
glistening	glinsende
glitz	glitter
glorify	lovprise
glorious	strålende
gloriously	herlig
glory	herlighet
glow	gløde
glowing	glødende
god-given	gudegitt
god-send	Gud-sender
godlike	guddommelig
godsend	gudegave
gold	gull
golden	gylden
good	flink
goodly	frukt
goodness	godhet
goodwill	velvilje
gorgeous	nydelig
grace	nåde
graceful	grasiøs
gracefully	grasiøst
gracious	nådig
graciously	nådigst
grandeur	storhet
grateful	takknemlig
gratefully	takknemlig
gratification	tilfredstillelse
gratified	gleder
gratify	glede
gratifying	gledelig
gratitude	takknemlighet
great	flott
greatest	størst
greatness	storhet
grin	glise
groundbreaking	banebrytende
guarantee	garanti
guidance	veiledning
guiltless	uskyldig
gush	utbrudd
gusto	velbehag
hail	hagl
halcyon	Halcyon
hallmark	kjennetegn
hallmarks	kjennetegnene
hallowed	helliget
handier	smidigere
handsome	kjekk
handsomely	vakkert
handy	praktisk
happier	lykkeligere
happily	gjerne
happiness	lykke
happy	lykkelig
hard-working	hardtarbeidende
hardier	hardføre
hardy	hardfør
harmless	harmløs
harmonious	harmonisk
harmoniously	harmonisk
harmonize	harmon
harmony	harmoni
headway	framskritt
heal	helbrede
healthful	sunn
healthy	sunn
hearten	oppmuntre
heartening	oppmuntrende
heartfelt	hjertefølt
heartily	hjertelig
heartwarming	hjertevarmende
heaven	himmel
heavenly	himmelsk
helped	hjulpet
helpful	hjelpsom
helping	hjelpe
hero	helt
heroic	heroisk
heroically	heroisk
heroine	heltinne
high-spirited	høy-energisk
hilarious	morsom
holy	hellig
homage	hyllest
honest	ærlig
honesty	ærlighet
honor	ære
honorable	hederlig
honored	hedret
honoring	ære
hooray	hurra
hopeful	håpe
hospitable	gjestfri
hot	varmt
hottest	hotteste
hug	Klem
humane	human
humble	ydmyk
humility	ydmykhet
humorous	humoristisk
humorously	humoristisk
humour	humor
ideal	ideell
idealize	idealisere
idolize	forgude
idolized	forgudet
idyllic	idylliske
illuminate	belyse
illuminating	Illuminerende
illumine	opplyse
illustrious	strålende
imaginative	Fantasifull
immaculate	plettfri
immense	enorme
impartial	upartisk
impartiality	habilitet
impartially	upartisk
impassioned	lidenskapelig
impeccable	upåklagelig
impeccably	ulastelig
important	viktig
impress	imponere
impressed	imponert
impresses	imponerer
impressive	imponerende
impressively	imponerende
improve	forbedre
improved	forbedret
improvement	forbedring
improvements	forbedringer
improves	forbedrer
improving	forbedring
incredible	utrolig
incredibly	utrolig
indebted	gjeld
individualized	individualisert
indulgence	overbærenhet
indulgent	bærende
industrious	industriell
inestimable	uvurderlig
inexpensive	rimelig
infallibility	ufeilbarlighet
infallible	ufeilbarlig
influential	innflytelsesrik
ingenious	genial
ingeniously	genialt
ingenuity	oppfinnsomhet
ingenuous	troskyldig
innocuous	ufarlige
innovation	innovasjon
innovative	nyskapende
inpressed	Inpressed
insightful	innsiktsfull
inspiration	inspirasjon
inspirational	inspirerende
inspire	inspirere
inspiring	inspirerende
instantly	øyeblikkelig
instructive	rikt
integral	integrert
integrated	integrert
intelligence	intelligens
intelligible	forståelig
interesting	interessant
interests	interesser
intimacy	fortrolighet
intimate	intime
intricate	innviklet
intrigue	intrige
intriguing	fascinerende
intriguingly	intrigere
intuitive	intuitiv
invaluable	uvurderlig
inventive	oppfinneriske
invigorate	styrke
invigorating	styrkende
invincibility	uovervinnelighet
invincible	uovervinnelig
inviolable	ukrenkelig
inviolate	ukrenkelig
invulnerable	usårbar
irreplaceable	uerstattelig
irreproachable	upåklagelig
irresistible	uimotståelig
irresistibly	uimotståelig
jaw-droping	kjeve-droping
jaw-dropping	Hakeslepp
joy	glede
joyful	gledelig
joyfully	glede
joyous	glad
joyously	gledesfylt
jubilate	Jubilate
jubilation	jubel
judicious	klok
justly	rettferdig
keen	ivrig
keenly	intenst
keenness	iver
kid-friendly	barnevennlig
kindliness	vennlighet
kindly	Vennligst
kindness	vennlighet
knowledgeable	kunnskapsrik
kudos	Kudos
laudable	rosverdig
lavish	overdådig
lavishly	overdådig
law-abiding	lovlydige
lawful	lovlig
lawfully	lovlig
lead	lede
leading	ledende
led	ledet
legendary	legendarisk
leverage	innflytelse
levity	lettsinn
liberate	frigjøre
liberation	frigjøring
liberty	frihet
lifesaver	livsredder
light-hearted	Letthjertet
like	som
liked	likte
likes	liker
liking	smak
lively	livlig
logical	logisk
long-lasting	langvarig
lovable	elskelig
love	kjærlighet
loved	elsket
loveliness	skjønnhet
lovely	herlig
loves	elsker
loving	kjærlig
loyal	lojal
loyalty	lojalitet
luck	flaks
luckier	heldigere
luckiest	heldigste
lucky	heldig
lucrative	lukrative
luminous	lysende
lush	frodige
luster	glans
lustrous	skinnende
luxuriant	frodig
luxuriate	nyt
luxurious	luksuriøs
luxuriously	luksuriøst
luxury	luksus
lyrical	lyrisk
magic	magi
magical	magisk
magnanimous	sinnet
magnificence	storhet
magnificent	storslått
magnificently	prakt
majestic	majestetiske
majesty	majestet
manageable	overkommelig
maneuverable	manøvrer
marvel	vidunder
marveled	undret
marvelled	undret
marvellous	strålende
marvelous	strålende
marvelously	marvellously
master	herre
masterful	mesterlig
masterfully	mesterlig
masterpiece	mesterverk
masterpieces	mesterverk
masters	mestere
mastery	mestring
matchless	makeløs
mature	moden
maturity	modenhet
memorable	minneverdig
merciful	barmhjertig
mercifully	barmhjertig
mercy	nåde
merit	bragd
meritorious	meritter
merrily	lystig
merriment	munterhet
merry	god
mesmerized	hypnotisert
mesmerizing	fortryllende
meticulous	nitid
meticulously	omhyggelig
mightily	mektig
mighty	mektig
mind-blowing	halsbrekk
miracle	mirakel
miracles	mirakler
miraculous	mirakuløs
miraculously	mirakuløst
modern	moderne
modest	beskjeden
modesty	beskjedenhet
momentous	betydnings
morality	moral
motivated	motivert
navigable	farbare
neat	ryddig
neatest	flotteste
neatly	pent
nice	hyggelig
nicely	pent
nicer	bedre
nicest	hyggeligste
nifty	kjekk
nimble	kvikk
noble	edel
noiseless	lydløs
non-violence	ikke-vold
notably	spesielt
noteworthy	bemerkelsesverdig
nourish	ernære
nourishing	næringsrik
nourishment	næring
novelty	nyhet
nurturing	pleie
oasis	oase
obsession	besettelse
obsessions	besettelser
obtainable	oppnåelig
openly	åpent
openness	åpenhet
optimism	optimisme
optimistic	optimistisk
opulent	overdådige
orderly	velordnet
originality	originalitet
outdo	overgå
outdone	gått
outperform	utkonkurrere
outperformed	utkonkurrerte
outperforms	utkonkurrerer
outsmart	liste
outstanding	fremragende
outstandingly	used
outstrip	outs
outwit	liste
ovation	applaus
overjoyed	lykkelig
overtake	overta
overtaken	taken
overtakes	overgår
overtaking	forbikjøring
overtook	overtok
overture	overtyre
pain-free	smertefri
painless	smertefri
painlessly	smertefritt
palatial	stase
pamper	skjemme
pampered	bortskjemt
pampers	Pampers
panoramic	panorama
paradise	paradis
paramount	overordnet
pardon	tilgi
passion	lidenskap
passionate	lidenskapelig
passionately	lidenskapelig
patience	tålmodighet
patient	pasient
patiently	tålmodig
patriotic	patriotisk
peace	fred
peaceable	fredsommelig
peaceful	fredelig
peacefully	fredelig
peach	fersken
peerless	Peerless
perfect	perfekt
perfection	fullkommenhet
perfectly	perfekt
permissible	tillatelig
perseverance	utholdenhet
personages	personligheter
personalized	personlig
phenomenal	fenomenale
phenomenally	fenomenalt
picturesque	pittoreske
piety	fromhet
pinnacle	høydepunkt
playful	leken
playfully	lekent
pleasant	hyggelig
pleasantly	positivt
pleased	fornøyd
pleases	gleder
pleasing	hyggelig
pleasurable	behage
pleasure	glede
plentiful	rikelig
pluses	plusser
plush	plysj
poetic	poetisk
poignant	gripende
poise	kroppsholdning
poised	klar
polished	polert
polite	høflig
politeness	høflighet
popular	populær
portable	bærbar
posh	snobbete
positive	positiv
positively	positivt
positives	positiver
powerful	kraftig
powerfully	kraft
praise	ros
praiseworthy	verdig
praising	priste
pre-eminent	fremtredende
precious	dyrebar
precise	nøyaktig
precisely	presist
preeminent	fremragende
prefer	foretrekker
preferable	foret
preferably	helst
prefered	foretrukket
preferring	foretrakk
prefers	foretrekker
prestige	prestisje
prestigious	prestisjetunge
prettily	vakkert
pretty	ganske
priceless	uvurderlig
pride	stolthet
principled	prinsipiell
privilege	privilegium
privileged	privilegert
prize	premie
proactive	proaktiv
problem-free	problemfritt
problem-solver	problemløser
prodigious	uhyre
prodigy	vidunderbarn
productive	produktivt
productively	produktivt
proficient	dyktig
proficiently	kyndig
profound	dyp
profoundly	dypt
profuse	rikelig
profusion	vell
progress	framgang
prolific	produktive
prominence	fremtredende
prominent	fremtredende
promise	love
promised	lovet
promises	løfter
promising	lovende
promptly	omgå
proper	ordentlig
properly	riktig
propitious	gunstig
pros	proffene
prosper	blomstre
prosperity	velstand
prosperous	velstående
protect	beskytte
protection	beskyttelse
protective	beskyttende
proud	stolt
proven	bevist
proves	beviser
providence	forsyn
proving	beviser
prudence	klokskap
prudent	forsvarlig
prudently	klokt
punctual	punktlig
pure	ren
purify	rense
purposeful	målbevisst
quaint	eiendommelig
qualified	utdannet
qualify	kvalifisere
quicker	raskere
quiet	stille
quieter	roligere
radiance	utstråling
radiant	strålende
rapid	rask
rapt	henført
rapture	henrykkelse
rapturous	begeistrede
rational	rasjonell
razor-sharp	sylskarp
reachable	nås
readable	leselig
readily	lett
ready	klar
reaffirm	stadfester
realistic	realistisk
realizable	realiserbar
reasonable	rimelig
reasonably	rimelig
reasoned	begrunnet
reassurance	beroligelse
reassure	Forsikre
receptive	mottakelig
reclaim	gjenvinne
recomend	tilrå
recommend	anbefale
recommendation	anbefaling
recommendations	anbefalinger
recommended	anbefales
reconcile	forsone
reconciliation	forsoning
recover	gjenopprette
recovery	gjenoppretting
rectification	retting
rectify	utbedre
rectifying	likeretter
redeem	innløse
redeeming	forløsende
redemption	forløsning
refine	raffinere
refined	raffinert
refinement	avgrensning
reformed	reformert
reforming	reformere
reforms	reformer
refresh	forfriske
refreshed	uthvilt
refreshing	forfriskende
refund	refusjon
refunded	refundert
regal	kongelig
rejoice	fryde
rejoicingly	jublet
rejuvenate	forynge
rejuvenated	forynget
rejuvenating	Fornyelse
relaxed	avslappet
relent	formilde
reliable	pålitelig
reliably	pålitelig
relief	lettelse
remarkable	bemerkelsesverdig
remarkably	bemerkelsesverdig
remedy	middel
remission	remisjon
remunerate	godt
renaissance	renessanse
renewed	fornyet
renown	kjent
renowned	kjente
replaceable	utskiftbare
reputable	aner
reputation	rykte
resilient	elastisk
resolute	resolutt
resound	runge
resounding	rungende
resourceful	ressurs
resourcefulness	oppfinnsomhet
respect	respekt
respectable	respekt
respectful	respekt
respectfully	respektfult
respite	pusterom
resplendent	strålende
responsibly	ansvarlig
responsive	mottakelig
restful	avslappende
restored	restaurert
restructure	omstrukturere
restructured	omstrukturert
restructuring	restrukturering
retractable	uttrekkbar
revel	kalas
revelation	åpenbaring
reverence	ærbødighet
reverent	ærbødig
reverently	ærbødig
revitalize	revitalisere
revival	vekkelse
revive	gjenopplive
revives	gjenoppliver
revolutionary	revolusjonerende
revolutionize	revolusjonere
revolutionized	revolusjon
revolutionizes	revolusjonerer
reward	belønning
rewarding	givende
rich	rik
richer	rikere
richly	rikt
richness	rikdom
righteous	rettferdige
righteously	rettferdig
righteousness	rettferdighet
rightful	rettmessige
rightfully	rettmessig
rightly	rette
rightness	riktighet
risk-free	risikofritt
rock-star	rockestjerne
rock-stars	rockestjerner
rockstar	rockestjerne
rockstars	rockestjerner
romantic	romantisk
romantically	kjærester
romanticize	romantisere
roomy	romslig
rosy	rosenrød
safe	sikker
safely	trygt
sagacity	klokskap
saint	helgen
saintly	hellig
salutary	sunn
salute	honnør
sane	tilregnelig
satisfactorily	tilfredsstillende
satisfactory	tilfredsstillende
satisfied	fornøyd
satisfies	tilfredsstiller
satisfy	tilfredsstille
satisfying	tilfredsstillende
savings	sparing
savior	frelser
savvy	erfarne
scenic	scenisk
seamless	sømløs
seasoned	erfaren
secure	sikre
securely	sikkert
selective	selektiv
self-determination	selv-bestemmelse
self-respect	selvrespekt
self-satisfaction	selv-tilfredshet
self-sufficiency	selvforsyning
self-sufficient	selvforsynt
sensation	følelse
sensational	oppsiktsvekkende
sensationally	sensasjonelt
sensations	sensasjoner
sensible	fornuftig
sensibly	fornuftig
sensitive	følsom
serene	fredelig
serenity	sinnsro
sharp	skarp
sharper	skarpere
sharpest	skarpeste
shimmering	skimrende
shine	skinne
shiny	skinnende
significant	betydelige
silent	stille
simpler	enklere
simplest	enkleste
simplified	forenklet
simplifies	forenkler
simplify	forenkle
simplifying	forenkle
sincere	oppriktig
sincerity	oppriktighet
skill	ferdighet
skilled	dyktig
skillful	dyktig
skillfully	dyktig
sleek	slank
slick	glatt
smarter	smartere
smartest	smarteste
smartly	smart
smile	smil
smiles	smiler
smiling	smilende
smilingly	smilende
smitten	smittet
smooth	glatt
smoother	jevnere
smoothes	jevner
smoothest	glatt
smoothly	problemfritt
snappy	irritabel
sociable	sosial
soft	myk
softer	mykere
solace	trøst
solicitous	omsorgs
solid	fast
solidarity	solidaritet
soothe	bero
soothingly	beroligende
sophisticated	sofistikert
soundness	soliditet
spacious	romslig
sparkle	gnisten
sparkling	musserende
spectacular	spektakulære
spectacularly	spektakulært
speedily	raskt
spellbind	trollbinde
spellbinding	trollbindende
spellbindingly	medrivende
spellbound	fjetret
spiritual	åndelig
splendid	fantastisk
splendidly	prakt
splendor	prakt
spontaneous	spontan
sporty	sportslig
spotless	plettfrie
sprightly	struttende
stability	stabilitet
stabilize	stabilisere
stable	stabil
stainless	rustfritt
stately	stase
staunch	trofast
staunchly	standhaftig
steadfast	standhaftig
steadfastly	standhaftig
steadfastness	standhaftighet
steadiest	stødigste
steadiness	stødighet
steady	stødig
stimulate	stimulere
stimulates	stimulerer
stimulating	stimulerende
stimulative	stimulerende
straighten	rette
streamlined	strømlinjeformet
striking	slående
strikingly	slående
strong	sterk
stronger	sterkere
strongest	sterkeste
stunning	slående
stunningly	utrolig
stupendous	overveldende
sturdier	kraftigere
sturdy	solid
stylish	stilig
stylishly	stil
stylized	stilisert
suave	beleven
subsidize	subsidiere
subsidized	subsidiert
subsidizes	subsidierer
subsidizing	subsidiere
substantive	materielle
succeed	lykkes
succeeded	lyktes
succeeding	lykkes
succeeds	lykkes
success	suksess
successes	suksesser
successful	vellykket
successfully	vellykket
suffice	nok
suffices	tilstrekkelig
sufficient	tilstrekkelig
sufficiently	tilstrekkelig
suitable	passende
sumptuous	overdådig
sumptuously	overdådig
sumptuousness	overdådighet
superb	suveren
superior	overlegen
superiority	overlegenhet
supple	smidig
support	Brukerstøtte
supported	støttet
supporting	bære
supportive	støttende
supports	støtter
supremacy	overlegenhet
supremely	super
surmount	vinne
surpass	overgå
surreal	surrealistisk
survival	overlevelse
survivor	overlevende
sustainability	bærekraft
sustainable	bærekraftig
sweeping	feiing
sweet	søt
sweeten	blid
sweetheart	kjæreste
sweetly	søtt
sweetness	søthet
swift	fort
swiftness	hurtighet
talented	talent
talents	talenter
tantalize	erte
tantalizing	frist
tantalizingly	tantalisingly
tempt	friste
tempting	fristende
tenacious	utholdende
tenacity	fasthet
tender	mør
tenderly	ømt
terrifically	forferdelig
thank	takke
thankful	takknemlig
thinner	tynnere
thoughtful	omtenksom
thoughtfully	tanke
thoughtfulness	omtanke
thrift	sparsommelighet
thrifty	sparsommelig
thrill	spenningen
thrilled	begeistret
thrilling	spennende
thrills	spenning
thrive	blomstre
thriving	blomstrende
tickle	kile
tidy	ryddig
time-honored	hevdvunne
timely	betimelig
tingle	prikke
titillate	pirre
titillating	pirrende
togetherness	samvær
tolerable	utholdelig
